player,sleeper_id,pos,team,bye,proj_pts,vorp,tier,cliff_flag,pos_rank,value_rank,ecr,adp,adp_delta,proj_source,avail_status,exp_games,rookie_flag,backs_up,starter_exp_games,starter_avail,wopr,tprr,yprr,hv_touches,routes_proxy
Germie Bernard,13274,WR,PIT,9,106.1,-12.0,5,false,71,186,236.01,169.7,-16.3,market_implied,,16.0,true,,,,,,,,
Mike Washington Jr.,13305,RB,LVR,13,108.9,-12.4,6,false,46,187,206.02,152.2,-34.8,market_implied,,16.0,true,Ashton Jeanty,16.0,,,,,,
Darius Slayton,6149,WR,NYG,8,105.2,-12.9,5,false,72,188,267.21,176.8,-11.2,blend,,14.7,false,,,,0.407,0.144,1.23,7,true
Dak Prescott,3294,QB,DAL,14,224.2,-13.0,5,false,14,189,80.01,65.9,-123.1,blend,,13.0,false,,,,0.0,0.0,0.0,10,true
San Francisco 49ers,SF,DEF,SFO,8,99.0,-14.0,1,false,19,190,259.97,147.1,-42.9,market_implied,,16.0,false,,,,,,,,
Chris Bell,13311,WR,MIA,6,103.7,-14.4,5,false,73,191,249.16,,,market_implied,,16.0,true,,,,,,,,
Cyrus Allen,13413,WR,KCC,5,103.7,-14.4,5,false,74,192,249.26,147.4,-44.6,market_implied,,16.0,true,,,,,,,,
Ja'Kobi Lane,13293,WR,BAL,13,103.2,-14.8,5,false,75,193,251.76,159.6,-33.4,market_implied,,16.0,true,,,,,,,,
Alvin Kamara,4035,RB,NOS,8,106.4,-15.0,6,false,47,194,148.76,143.0,-51.0,blend,compromised,12.0,false,Travis Etienne Jr.,15.333333333333334,,0.18,0.135,0.65,8,true
Wil Lutz,3678,K,DEN,10,117.0,-15.0,2,false,22,195,267.71,161.2,-33.8,market_implied,,16.0,false,,,,,,,,
Ted Hurst III,13317,WR,TBB,10,102.8,-15.2,5,false,76,196,254.24,,,market_implied,,16.0,true,,,,,,,,
Malachi Fields,13285,WR,NYG,8,102.7,-15.4,5,false,77,197,254.83,164.0,-33.0,market_implied,,16.0,true,,,,,,,,
Nicholas Singleton,13288,RB,TEN,9,106.0,-15.4,6,false,48,198,216.81,,,market_implied,,16.0,true,Tony Pollard,15.666666666666666,,,,,,
Caleb Douglas,13296,WR,MIA,6,102.2,-15.9,5,false,78,199,257.79,175.6,-23.4,market_implied,,16.0,true,,,,,,,,
Atlanta Falcons,ATL,DEF,ATL,11,97.0,-16.0,1,false,20,200,263.71,175.5,-24.5,market_implied,,16.0,false,,,,,,,,
Elijah Sarratt,13268,WR,BAL,13,102.0,-16.1,5,false,79,201,258.99,,,market_implied,,16.0,true,,,,,,,,
James Conner,4137,RB,ARI,14,105.0,-16.3,6,false,49,202,194.7,157.8,-44.2,blend,compromised,12.0,false,Jeremiyah Love,16.0,compromised,0.135,0.139,0.59,4,true
MarShawn Lloyd,11581,RB,GBP,11,104.9,-16.4,6,false,50,203,220.8,163.1,-39.9,market_implied,,16.0,true,Josh Jacobs,14.0,,,,,,
Tyler Bass,7042,K,BUF,7,115.5,-16.5,2,false,23,204,278.07,163.8,-40.2,market_implied,,16.0,false,,,,,,,,
Oronde Gadsden II,12493,TE,LAC,7,112.4,-17.4,2,false,20,205,178.5,142.0,-63.0,blend,,14.0,false,,,,0.333,0.175,1.68,5,true
Travis Hunter,12530,WR,JAC,7,100.3,-17.8,5,false,80,206,175.65,159.8,-46.2,blend,,12.0,false,,,,0.387,0.231,1.53,2,true
Kenyon Sadiq,13330,TE,NYJ,13,111.9,-17.8,2,false,21,207,218.32,165.1,-41.9,market_implied,compromised,16.0,true,,,,,,,,
Tennessee Titans,TEN,DEF,TEN,9,95.0,-18.0,1,false,21,208,268.25,173.2,-34.8,market_implied,,16.0,false,,,,,,,,
Kaytron Allen,13405,RB,WAS,7,103.1,-18.2,6,false,51,209,227.85,,,market_implied,,16.0,true,Jacory Croskey-Merritt,16.0,,,,,,
Fernando Mendoza,13269,QB,LVR,13,218.6,-18.5,5,false,15,210,255.58,156.8,-53.2,market_implied,,16.0,true,,,,,,,,
Aaron Rodgers,96,QB,PIT,9,218.6,-18.6,5,false,16,211,221.65,168.0,-43.0,blend,,15.5,false,,,,0.001,0.002,-0.02,2,true
Jordyn Tyson,13281,WR,NOS,8,99.0,-19.1,5,false,81,212,83.83,104.1,-107.9,override,compromised,16.0,true,,,,,,,,
