player,sleeper_id,pos,team,bye,proj_pts,vorp,vorp_flex,tier,cliff_flag,pos_rank,value_rank,ecr,adp,adp_delta,proj_source,avail_status,exp_games,rookie_flag,backs_up,starter_exp_games,starter_avail,wopr,tprr,yprr,hv_touches,routes_proxy,upside_flag,upside_why,alpha_used,proj_as_of,n_sources,proj_sd,proj_hi,proj_lo,proj_band,non_starter,contingent_of,backs_up_pos,starter_fragility,starter_fragility_label,yahoo_rank,proj_td
George Kittle,4217,TE,SFO,8,132.5,12.8,-25.604719019607842,3,false,9,55,97.7,82.9,27.9,fantasypros_sheet_headline,compromised,13.0,false,,,,0.451,0.211,1.92,5,true,false,,0.0,2026-09-04,1,0.0,154.8,107.7,19.2,false,,,,"",87.0,6.2
Ka'imi Fairbairn,3451,K,HOU,8,148.5,12.0,12.0,1,false,2,56,192.36,118.8,62.8,kdef_synthetic,,16.0,false,,,,,,,,,false,,0.0,,0,,,,,false,,,,"",168.0,
Seattle Seahawks,SEA,DEF,SEA,11,129.0,12.0,12.0,1,false,4,57,167.18,84.8,27.8,kdef_synthetic,,16.0,false,,,,,,,,,false,,0.0,,0,,,,,false,,,,"",165.0,
Bucky Irving,11584,RB,TBB,10,170.0,11.9,11.881040019607866,4,false,20,58,56.3,54.2,-3.8,fantasypros_sheet_headline,,12.5,false,,,,0.146,0.137,1.09,7,true,false,,0.0,2026-09-04,1,0.0,184.7,159.2,10.4,false,,,,"",50.0,8.0
Joe Burrow,6770,QB,CIN,6,278.5,11.6,11.608940250980368,2,false,6,59,44.89,50.2,-8.8,fantasypros_sheet_headline,,12.0,false,,,,0.0,0.0,0.0,1,true,false,,0.0,2026-09-04,1,0.0,292.0,268.2,9.8,false,,,,"",64.0,34.7
Emeka Egbuka,12514,WR,TBB,10,154.5,10.6,-3.6385518529411343,3,false,19,60,40.74,45.6,-14.4,fantasypros_sheet_headline,compromised,16.0,false,,,,0.601,0.237,1.75,6,true,false,,0.0,2026-09-04,1,0.0,162.6,145.4,7.0,false,,,,"",43.0,7.5
Cameron Dicker,8259,K,LAC,7,147.0,10.5,10.5,1,false,3,61,194.55,123.8,62.8,kdef_synthetic,,16.0,false,,,,,,,,,false,,0.0,,0,,,,,false,,,,"",178.0,
Philadelphia Eagles,PHI,DEF,PHI,10,127.0,10.0,10.0,1,false,5,62,175.18,122.9,60.9,kdef_synthetic,,16.0,false,,,,,,,,,false,,0.0,,0,,,,,false,,,,"",170.0,
Cam Little,11786,K,JAC,7,145.5,9.0,9.0,1,false,4,63,198.39,130.4,67.4,kdef_synthetic,,16.0,false,,,,,,,,,false,,0.0,,0,,,,,false,,,,"",194.0,
Travis Kelce,1466,TE,KCC,5,128.7,9.0,-29.458856941176435,3,false,10,64,98.18,94.8,30.8,fantasypros_sheet_headline,,15.0,false,,,,0.427,0.182,1.44,9,true,false,,0.0,2026-09-04,1,0.0,139.5,121.9,7.3,false,,,,"",118.0,4.8
