name,pos,adp
Aaron Rodgers,QB,116.5
Jake Ferguson,TE,117.0
Jayden Reed,WR,117.3
Ka'imi Fairbairn,K,118.5
Fernando Mendoza,QB,118.8
Brian Robinson,RB,119.4
Kenny Gainwell,RB,119.6
Cooper Kupp,WR,120.4
Michael Pittman Jr.,WR,120.7
Bryce Young,QB,121.6
Jason Myers,K,122.0
Sam Darnold,QB,122.5
Jordan Love,QB,123.1
Mike Washington Jr.,RB,123.1
Ray Davis,RB,123.3
Cameron Dicker,K,123.4
Eagles,DEF,123.6
Rachaad White,RB,123.8
Aaron Jones Sr.,RB,124.0
KC Concepcion,WR,124.2
David Njoku,TE,124.3
Cam Ward,QB,124.4
Isaac TeSlaa,WR,124.4
Juwan Johnson,TE,124.5
Pat Freiermuth,TE,124.5
Malik Willis,QB,125.1
C.J. Stroud,QB,125.3
AJ Barner,TE,125.4
Isiah Pacheco,RB,125.6
James Conner,RB,125.7
Travis Hunter,WR,125.7
Keenan Allen,WR,125.8
Alvin Kamara,RB,125.9
Baker Mayfield,QB,125.9
Jauan Jennings,WR,126.1
Matthew Golden,WR,126.3
Chig Okonkwo,TE,126.5
Emmett Johnson,RB,126.5
Dalton Schultz,TE,126.6
Oronde Gadsden,TE,126.6
49ers,DEF,126.8
Ja'Kobi Lane,WR,126.8
Bears,DEF,126.9
Daniel Jones,QB,127.1
Terrance Ferguson,TE,127.2
Deebo Samuel Sr.,WR,127.3
Hunter Henry,TE,127.6
Tre Tucker,WR,127.6
Braelon Allen,RB,128.0
Nick Folk,K,128.3
Jake Elliott,K,128.4
Rashid Shaheed,WR,128.4
T.J. Hockenson,TE,128.5
Patriots,DEF,128.7
Giants,DEF,128.8
Xavier Worthy,WR,129.1
Jalen Nailor,WR,129.2
Brenton Strange,TE,129.3
Jonah Coleman,RB,129.3
Tyreek Hill,WR,129.4
Bills,DEF,129.7
Tank Bigsby,RB,129.7
Harrison Butker,K,130.0
Kenyon Sadiq,TE,130.0
Tyler Allgeier,RB,130.0
Tyler Shough,QB,130.0
Cam Little,K,130.1
Jakobi Meyers,WR,130.1
Trey Smack,K,130.1
Zach Charbonnet,RB,130.4
Kaelon Black,RB,130.5
Wan'Dale Robinson,WR,130.7
Woody Marks,RB,130.7
Tyrone Tracy Jr.,RB,130.8
Chris Rodriguez Jr.,RB,130.9
Khalil Shakir,WR,130.9
Vikings,DEF,131.2
Denzel Boston,WR,131.4
Greg Dulcich,TE,131.5
Keaton Mitchell,RB,131.7
Cowboys,DEF,132.0
Romeo Doubs,WR,132.0
Browns,DEF,132.6
Chiefs,DEF,132.6
Harrison Mevis,K,132.6
Tyjae Spears,RB,132.9
Jayden Higgins,WR,133.0
Jalen Coker,WR,133.3
Tyler Bass,K,133.9
Chris Boswell,K,134.2
Steelers,DEF,136.3
Wil Lutz,K,136.3
Packers,DEF,136.6
Lions,DEF,136.7
Jaguars,DEF,137.7
Jake Bates,K,138.0
Ravens,DEF,138.7
Chargers,DEF,139.4
Tyler Loop,K,139.5
Chase McLaughlin,K,139.9
Evan McPherson,K,142.2
Will Reichard,K,142.5
Eddy Pineiro,K,142.7
