sleeper_id,name,pos,adp,usage,curve,blend,lines,actual,games_actual,pair,blend_gt,lines_gt,blend_gt_rb,lines_gt_rb
6768,Tua Tagovailoa,QB,138.5,266.0724366454144,256.9249654814922,260.5839539470611,293.34520000000003,175.70000000000002,14,2024->2025,236.81735925575572,266.59061144058217,260.5839539470611,293.34520000000003
9756,Jordan Addison,WR,98.8,219.3067490680239,174.89348758671255,183.77613988297486,,135.1,14,2024->2025,177.493276356431,,183.77613988297486,
11635,Ladd McConkey,WR,23.4,228.17411186018302,235.08263768983767,233.70093252390677,261.68100000000004,180.9,16,2024->2025,244.53289820312042,273.80983312141836,233.70093252390677,261.68100000000004
1373,Geno Smith,QB,149.6,272.6875544618347,252.846025977104,260.78263737099627,277.4774,190.9,15,2024->2025,236.99792173119417,252.17003628129243,260.78263737099627,277.4774
5995,Justice Hill,RB,167.3,150.53596124752968,155.60687613643293,152.31078145864583,89.06300000000002,65.2,10,2024->2025,152.31078145864583,89.06300000000002,152.31078145864583,89.06300000000002
11627,Troy Franklin,WR,157.7,91.41927024517003,155.3537694375912,142.56686959910698,80.07000000000002,177.1,17,2024->2025,142.56686959910698,80.07000000000002,142.56686959910698,80.07000000000002
12518,Tyler Warren,TE,106.2,,160.05416038032604,160.05416038032604,156.38300000000004,188.5,17,2024->2025,163.68398268047392,159.92956510905546,160.05416038032604,156.38300000000004
9225,Tank Bigsby,RB,134.3,144.64667559249628,165.29480494833768,157.0355532060011,,53.8,15,2024->2025,144.0906092331135,,144.0906092331135,
12469,Dylan Sampson,RB,146.4,,161.49099918180858,161.49099918180858,166.294,87.60000000000001,15,2024->2025,148.17877851677343,152.5858525831951,148.17877851677343,152.5858525831951
10444,Cedric Tillman,WR,121.1,140.37865649300085,166.3889297405583,161.18687509104683,154.224,60.0,12,2024->2025,161.18687509104683,154.224,161.18687509104683,154.224
6790,D'Andre Swift,RB,56.8,197.66284580430352,203.23915466804428,199.61455390661277,206.958,228.6,16,2024->2025,195.23123264296183,202.41342454531107,195.23123264296183,202.41342454531107
6794,Justin Jefferson,WR,4.4,282.1638693804572,304.91509143489327,300.36484702400605,319.19200000000006,201.5,17,2024->2025,314.2866644471071,333.9864501193888,300.36484702400605,319.19200000000006
5872,Deebo Samuel Sr.,WR,70.4,179.40958723856062,189.05546228524713,187.12628727590985,217.855,188.20000000000002,16,2024->2025,195.01983974149735,227.0447824588109,187.12628727590985,217.855
12489,RJ Harvey,RB,61.9,,199.44781171191718,199.44781171191718,191.59,206.60000000000002,17,2024->2025,195.06815192781897,187.38288932361226,195.06815192781897,187.38288932361226
4066,Evan Engram,TE,93.5,163.80484721693352,166.91357559329447,165.6700842427501,170.00000000000003,102.8,16,2024->2025,169.42726846603276,173.85538113822747,165.6700842427501,170.00000000000003
7090,Darnell Mooney,WR,105.9,187.21759312847493,171.99353142672592,175.03834376707573,,82.3,15,2024->2025,175.03834376707573,,175.03834376707573,
5012,Mark Andrews,TE,87.2,163.79413548805454,170.67050798496228,166.20086586197223,181.135,131.0,17,2024->2025,169.9700875290388,185.24290860278134,166.20086586197223,181.135
3321,Tyreek Hill,WR,26.4,214.57767353647296,230.0418922600695,226.94904851535023,267.461,53.5,4,2024->2025,235.81322965453322,277.90749786891115,226.94904851535023,267.461
4950,Christian Kirk,WR,121.0,159.2321482713402,166.42345062488693,164.98519015417762,,57.9,11,2024->2025,164.98519015417762,,164.98519015417762,
12522,Cam Ward,QB,159.8,,249.35631240184858,249.35631240184858,248.85619999999997,193.66,17,2024->2025,249.35631240184858,248.85619999999997,249.35631240184858,248.85619999999997
8137,George Pickens,WR,59.6,214.21714434211458,196.0146606484762,199.6551573872039,223.176,291.9,17,2024->2025,208.07721546789085,232.59023832378222,199.6551573872039,223.176
12529,TreVeyon Henderson,RB,50.3,,208.59791241349282,208.59791241349282,231.98200000000003,206.20000000000002,17,2024->2025,204.0173262430925,226.8879243753339,204.0173262430925,226.8879243753339
12519,Luther Burden III,WR,150.7,,157.25106480369215,157.25106480369215,44.166000000000004,127.9,15,2024->2025,157.25106480369215,44.166000000000004,157.25106480369215,44.166000000000004
4098,Kareem Hunt,RB,173.8,208.56688705917097,153.92617546293886,175.7824601014317,105.876,145.4,17,2024->2025,175.7824601014317,105.876,175.7824601014317,105.876
9488,Jaxon Smith-Njigba,WR,33.0,223.98971236315091,220.71727483844404,221.3717623433854,257.12500000000006,359.90000000000003,17,2024->2025,230.0181057114177,267.16779414398286,221.3717623433854,257.12500000000006
8228,Jaylen Warren,RB,76.3,147.87578957883662,190.22550076026735,162.69818849233738,233.172,217.1,16,2024->2025,158.32956837185657,226.91108277546235,158.32956837185657,226.91108277546235
7569,Nico Collins,WR,10.0,251.9241281162428,270.6083435429655,266.871500457621,298.75800000000004,226.20000000000002,15,2024->2025,279.24091166406316,312.605340562321,266.871500457621,298.75800000000004
11563,Bo Nix,QB,66.9,309.19857678829294,295.4247055898302,304.377721868831,302.9162,315.84000000000003,17,2024->2025,319.1524543727211,317.6199890901344,304.377721868831,302.9162
7021,Rico Dowdle,RB,171.1,178.0983348236549,154.61655133000363,164.00926472746414,115.27700000000002,216.3,17,2024->2025,164.00926472746414,115.27700000000002,164.00926472746414,115.27700000000002
11631,Brian Thomas Jr.,WR,14.7,253.30835907895926,254.50918014275956,254.26901592999954,291.584,138.8,14,2024->2025,266.0543058905325,305.09882788920726,254.26901592999954,291.584
4892,Baker Mayfield,QB,53.3,326.3996031545368,307.4487495744736,315.0290910064989,327.44379999999995,282.92,17,2024->2025,330.32084929283786,343.33817796351644,315.0290910064989,327.44379999999995
9480,Brenton Strange,TE,161.3,106.11456597308984,137.5449211501919,124.97277907935106,136.833,118.0,12,2024->2025,129.24026313778748,141.5054786827159,124.97277907935106,136.833
11577,Will Shipley,RB,151.2,77.13703901956059,160.06849964158516,114.45619629947164,63.121,19.5,14,2024->2025,114.45619629947164,63.121,114.45619629947164,63.121
4981,Calvin Ridley,WR,57.1,202.1448140307062,197.8053171292388,198.6732165095323,215.917,47.3,7,2024->2025,207.05385335566774,225.0250317603868,198.6732165095323,215.917
7049,Jauan Jennings,WR,83.5,220.35577618207128,181.92427984506364,189.6105791124652,190.74,173.3,15,2024->2025,183.12825016317308,184.219058871211,189.6105791124652,190.74
8210,Chig Okonkwo,TE,154.7,114.86790593194158,139.79498550568294,129.8241536761864,148.85199999999998,124.0,17,2024->2025,134.25729912029428,153.93489518522304,129.8241536761864,148.85199999999998
8112,Drake London,WR,15.4,257.14423042753776,252.56522368204787,253.48102503114586,298.724,201.9,12,2024->2025,265.2297918581178,312.56976467287484,253.48102503114586,298.724
10222,Jayden Reed,WR,103.6,166.62836525401983,172.91109874206919,171.65455204445934,121.55000000000001,48.5,5,2024->2025,171.65455204445934,121.55000000000001,171.65455204445934,121.55000000000001
9484,Tucker Kraft,TE,113.9,139.19272738786464,156.2843207388209,149.44768339843841,159.90200000000002,117.19999999999999,8,2024->2025,152.83696445565093,163.52837149861676,149.44768339843841,159.90200000000002
7547,Amon-Ra St. Brown,WR,10.7,273.7958024603785,267.78105586843077,268.9840051868203,281.0439999999999,324.0,17,2024->2025,281.4513303317168,294.0703021609359,268.9840051868203,281.0439999999999
1479,Keenan Allen,WR,116.5,211.34557074120886,168.00716754337955,176.67484818294542,149.19200000000004,182.7,17,2024->2025,176.67484818294542,149.19200000000004,176.67484818294542,149.19200000000004
