sleeper_id,name,pos,adp,model,sleeper,sleeper_as_of,espn,espn_as_of,sheet,sheet_as_of,mean,mean_n_sources,pair,league,model_built,actual
13330,Kenyon Sadiq,TE,130.0,94.66874999999999,80.2,2026-09-02,115.047164195,2026-09-03,100.47,2026-09-01,97.62358209749999,2,2026,keefamania,2026-09-02,
7049,Jauan Jennings,WR,126.0,115.49375,86.2,2026-09-02,91.209891734,2026-09-03,110.02000000000001,2026-09-01,88.704945867,2,2026,keefamania,2026-09-02,
11624,Xavier Worthy,WR,129.0,114.64375000000001,134.0,2026-09-02,144.70665491100002,2026-09-03,140.12,2026-09-01,139.3533274555,2,2026,keefamania,2026-09-02,
13417,De'Zhaun Stribling,WR,109.5,114.5375,105.4,2026-09-02,133.56092047,2026-09-03,138.42000000000002,2026-09-01,119.480460235,2,2026,keefamania,2026-09-02,
13281,Jordyn Tyson,WR,98.7,113.9,90.5,2026-09-02,81.711775657,2026-09-03,89.66,2026-09-01,86.1058878285,2,2026,keefamania,2026-09-02,
12533,Jacory Croskey-Merritt,RB,107.6,132.91875,118.4,2026-09-02,149.970028317,2026-09-03,140.97000000000003,2026-09-01,134.1850141585,2,2026,keefamania,2026-09-02,
7594,Chuba Hubbard,RB,90.2,132.49375,136.9,2026-09-02,158.666119865,2026-09-03,156.28,2026-09-01,147.7830599325,2,2026,keefamania,2026-09-02,
10213,Tre Tucker,WR,129.7,111.35,102.9,2026-09-02,112.20598187000002,2026-09-03,117.55,2026-09-01,107.552990935,2,2026,keefamania,2026-09-02,
10219,Chris Rodriguez Jr.,RB,131.0,130.475,125.0,2026-09-02,69.5186066145,2026-09-03,93.1,2026-09-01,97.25930330725001,2,2026,keefamania,2026-09-02,
8136,Rachaad White,RB,123.8,130.2625,111.1,2026-09-02,143.23883034399998,2026-09-03,143.54000000000002,2026-09-01,127.16941517200001,2,2026,keefamania,2026-09-02,
8676,Rashid Shaheed,WR,128.2,110.92500000000001,115.6,2026-09-02,117.55056504499998,2026-09-03,132.31000000000003,2026-09-01,116.5752825225,2,2026,keefamania,2026-09-02,
13346,Denzel Boston,WR,131.5,109.75625,108.2,2026-09-02,113.591848839,2026-09-03,122.26000000000002,2026-09-01,110.8959244195,2,2026,keefamania,2026-09-02,
12501,Matthew Golden,WR,126.5,108.375,141.0,2026-09-02,153.729141832,2026-09-03,137.49,2026-09-01,147.36457091600002,2,2026,keefamania,2026-09-02,
6783,Jerry Jeudy,WR,124.2,107.84375,98.1,2026-09-02,113.449392936,2026-09-03,126.24,2026-09-01,105.774696468,2,2026,keefamania,2026-09-02,
96,Aaron Rodgers,QB,116.1,247.45625,175.0,2026-09-02,228.480595994,2026-09-03,224.402,2026-09-01,201.74029799699997,2,2026,keefamania,2026-09-02,
1479,Keenan Allen,WR,125.5,107.73750000000001,84.80000000000001,2026-09-02,96.33633097,2026-09-03,112.69,2026-09-01,90.56816548500001,2,2026,keefamania,2026-09-02,
9508,Tyjae Spears,RB,133.0,124.94999999999999,97.1,2026-09-02,129.36530846,2026-09-03,115.21,2026-09-01,113.23265423,2,2026,keefamania,2026-09-02,
12530,Travis Hunter,WR,125.4,104.86875,79.1,2026-09-02,83.24503931000001,2026-09-03,83.69,2026-09-01,81.172519655,2,2026,keefamania,2026-09-02,
8132,Tyler Allgeier,RB,130.0,122.08125000000001,72.7,2026-09-02,83.04314150600003,2026-09-03,86.63,2026-09-01,77.871570753,2,2026,keefamania,2026-09-02,
11586,Blake Corum,RB,99.8,121.23124999999999,127.80000000000001,2026-09-02,150.51078937799997,2026-09-03,134.45999999999998,2026-09-01,139.15539468900002,2,2026,keefamania,2026-09-02,
11618,Jalen McMillan,WR,135.9,101.46875,105.39999999999999,2026-09-02,108.509431112,2026-09-03,110.19,2026-09-01,106.95471555600001,2,2026,keefamania,2026-09-02,
12490,Bhayshul Tuten,RB,62.6,120.48750000000001,158.8,2026-09-02,187.94502039900004,2026-09-03,194.64,2026-09-01,173.37251019950003,2,2026,keefamania,2026-09-02,
13269,Fernando Mendoza,QB,118.0,240.97500000000002,210.16,2026-09-02,195.81003280800002,2026-09-03,191.58400000000003,2026-09-01,202.985016404,2,2026,keefamania,2026-09-02,
3321,Tyreek Hill,WR,129.2,100.725,77.2,2026-09-02,,,,,77.2,1,2026,keefamania,2026-09-02,
11610,Malik Washington,WR,144.3,99.875,107.30000000000001,2026-09-02,88.71242243399999,2026-09-03,88.06000000000002,2026-09-01,98.006211217,2,2026,keefamania,2026-09-02,
4981,Calvin Ridley,WR,140.6,99.55625,63.800000000000004,2026-09-02,113.45521526700001,2026-09-03,124.67,2026-09-01,88.6276076335,2,2026,keefamania,2026-09-02,
8408,Jordan Mason,RB,113.5,118.36250000000001,143.7,2026-09-02,144.160744504,2026-09-03,138.36,2026-09-01,143.93037225199998,2,2026,keefamania,2026-09-02,
8180,Jalen Nailor,WR,128.9,99.025,107.60000000000001,2026-09-02,101.67871763000001,2026-09-03,105.08,2026-09-01,104.63935881500001,2,2026,keefamania,2026-09-02,
13345,Jonah Coleman,RB,129.0,117.61875,58.900000000000006,2026-09-02,65.297229425,2026-09-03,44.49000000000001,2026-09-01,62.0986147125,2,2026,keefamania,2026-09-02,
12522,Cam Ward,QB,124.1,236.61874999999998,225.84,2026-09-02,228.98824340599998,2026-09-03,230.752,2026-09-01,227.41412170299998,2,2026,keefamania,2026-09-02,
4039,Cooper Kupp,WR,120.2,96.05000000000001,70.4,2026-09-02,82.35958426,2026-09-03,101.22999999999999,2026-09-01,76.37979213,2,2026,keefamania,2026-09-02,
13305,Mike Washington Jr.,RB,123.0,114.43125,89.5,2026-09-02,62.31649096800001,2026-09-03,92.26999999999998,2026-09-01,75.908245484,2,2026,keefamania,2026-09-02,
13413,Cyrus Allen,WR,148.1,94.775,77.5,2026-09-02,42.967394681,2026-09-03,42.800000000000004,2026-09-01,60.2336973405,2,2026,keefamania,2026-09-02,
13293,Ja'Kobi Lane,WR,126.2,94.775,87.4,2026-09-02,92.220588609,2026-09-03,110.61,2026-09-01,89.8102943045,2,2026,keefamania,2026-09-02,
11576,Braelon Allen,RB,128.3,113.36875,47.2,2026-09-02,69.620494524,2026-09-03,89.72,2026-09-01,58.410247262,2,2026,keefamania,2026-09-02,
8125,Calvin Austin III,WR,,93.7125,,,,,,,,,2026,keefamania,2026-09-02,
8161,Malik Willis,QB,124.9,233.325,270.12,2026-09-02,248.22063487000003,2026-09-03,271.53800000000007,2026-09-01,259.170317435,2,2026,keefamania,2026-09-02,
12535,Isaac TeSlaa,WR,124.1,91.5875,73.10000000000001,2026-09-02,60.892858270000005,2026-09-03,72.33999999999999,2026-09-01,66.99642913500001,2,2026,keefamania,2026-09-02,
7571,Rashod Bateman,WR,138.0,91.1625,84.30000000000001,2026-09-02,103.227004995,2026-09-03,114.82,2026-09-01,93.7635024975,2,2026,keefamania,2026-09-02,
