sleeper_id,name,pos,adp,model,sleeper,sleeper_as_of,espn,espn_as_of,sheet,sheet_as_of,mean,mean_n_sources,pair,league,model_built,actual
9758,C.J. Stroud,QB,157.4,260.20625,245.82,2026-09-02,254.95220141800002,2026-09-03,260.498,2026-09-01,250.38610070900003,2,2026,omnibeta,2026-09-02,
12738,Phil Mafah,RB,,117.61875,6.7,2026-09-02,,,,,6.7,1,2026,omnibeta,2026-09-02,
5995,Justice Hill,RB,170.8,117.19375,67.7,2026-09-02,119.873037248,2026-09-03,114.85,2026-09-01,93.78651862400001,2,2026,omnibeta,2026-09-02,
NO,New Orleans Saints,DEF,175.7,94.5625,,,,,,,,,2026,omnibeta,2026-09-02,
12469,Dylan Sampson,RB,160.4,115.91874999999999,88.7,2026-09-02,87.211661996,2026-09-03,111.34,2026-09-01,87.95583099800001,2,2026,omnibeta,2026-09-02,
13281,Jordyn Tyson,WR,157.4,105.1875,111.0,2026-09-02,99.500367592,2026-09-03,109.06,2026-09-01,105.250183796,2,2026,omnibeta,2026-09-02,
7042,Tyler Bass,K,158.3,114.75,,,,,,,,,2026,omnibeta,2026-09-02,
4943,Sam Darnold,QB,145.1,257.125,260.74,2026-09-02,252.85234214,2026-09-03,265.78999999999996,2026-09-01,256.79617107,2,2026,omnibeta,2026-09-02,
8210,Chig Okonkwo,TE,163.1,129.94375,144.1,2026-09-02,120.56707684199999,2026-09-03,126.17,2026-09-01,132.33353842100001,2,2026,omnibeta,2026-09-02,
CHI,Chicago Bears,DEF,169.1,92.4375,,,,,,,,,2026,omnibeta,2026-09-02,
9228,Bryce Young,QB,162.6,256.7,233.58,2026-09-02,247.238322814,2026-09-03,255.62599999999998,2026-09-01,240.409161407,2,2026,omnibeta,2026-09-02,
11603,AJ Barner,TE,158.9,129.4125,142.4,2026-09-02,113.443174812,2026-09-03,124.55000000000001,2026-09-01,127.92158740600001,2,2026,omnibeta,2026-09-02,
9511,Keaton Mitchell,RB,158.0,112.73124999999999,96.9,2026-09-02,93.262263268,2026-09-03,84.43,2026-09-01,95.081131634,2,2026,omnibeta,2026-09-02,
8111,Cade Otton,TE,,127.60624999999999,122.30000000000001,2026-09-02,101.680628044,2026-09-03,128.91000000000003,2026-09-01,111.990314022,2,2026,omnibeta,2026-09-02,
4098,Kareem Hunt,RB,,111.45625000000001,24.2,2026-09-02,,,,,24.2,1,2026,omnibeta,2026-09-02,
5844,T.J. Hockenson,TE,163.7,125.90625,155.0,2026-09-02,158.56555189000002,2026-09-03,140.98999999999998,2026-09-01,156.78277594500003,2,2026,omnibeta,2026-09-02,
4195,Jake Elliott,K,165.8,109.96875,,,,,,,,,2026,omnibeta,2026-09-02,
ATL,Atlanta Falcons,DEF,162.5,88.1875,,,,,,,,,2026,omnibeta,2026-09-02,
13288,Nicholas Singleton,RB,,109.65,63.7,2026-09-02,19.704931157000004,2026-09-03,20.240000000000006,2026-09-01,41.7024655785,2,2026,omnibeta,2026-09-02,
6865,Colby Parkinson,TE,,124.73750000000001,76.3,2026-09-02,75.24125452,2026-09-03,90.42,2026-09-01,75.77062726,2,2026,omnibeta,2026-09-02,
9225,Tank Bigsby,RB,162.5,108.90625,65.2,2026-09-02,63.841954414,2026-09-03,82.45,2026-09-01,64.52097720700002,2,2026,omnibeta,2026-09-02,
6039,Ty Johnson,RB,182.1,108.80000000000001,55.800000000000004,2026-09-02,84.286158322,2026-09-03,94.86,2026-09-01,70.043079161,2,2026,omnibeta,2026-09-02,
TB,Tampa Bay Buccaneers,DEF,158.1,86.0625,,,,,,,,,2026,omnibeta,2026-09-02,
8172,Greg Dulcich,TE,176.9,121.76249999999999,110.9,2026-09-02,118.775021846,2026-09-03,133.81,2026-09-01,114.837510923,2,2026,omnibeta,2026-09-02,
13405,Kaytron Allen,RB,,106.0375,45.9,2026-09-02,15.619632723,2026-09-03,21.440000000000005,2026-09-01,30.7598163615,2,2026,omnibeta,2026-09-02,
7607,Michael Carter,RB,,105.82499999999999,8.100000000000001,2026-09-02,,,,,8.100000000000001,1,2026,omnibeta,2026-09-02,
96,Aaron Rodgers,QB,180.1,247.66875,175.0,2026-09-02,228.480595994,2026-09-03,224.402,2026-09-01,201.74029799699997,2,2026,omnibeta,2026-09-02,
12498,Mason Taylor,TE,,120.0625,96.4,2026-09-02,70.00557472400001,2026-09-03,102.19,2026-09-01,83.20278736200001,2,2026,omnibeta,2026-09-02,
13414,Kaelon Black,RB,159.9,104.55000000000001,42.3,2026-09-02,60.105824296,2026-09-03,88.72999999999999,2026-09-01,51.202912147999996,2,2026,omnibeta,2026-09-02,
11588,Jawhar Jordan,RB,,103.59375,27.0,2026-09-02,,,,,27.0,1,2026,omnibeta,2026-09-02,
8154,Brian Robinson Jr.,RB,159.9,103.0625,69.9,2026-09-02,93.52375659699999,2026-09-03,86.24999999999999,2026-09-01,81.71187829850001,2,2026,omnibeta,2026-09-02,
11643,Jaylen Wright,RB,,102.53125,44.1,2026-09-02,45.516038728000005,2026-09-03,51.870000000000005,2026-09-01,44.808019364,2,2026,omnibeta,2026-09-02,
