sleeper_id,name,pos,adp,usage,curve,blend,lines,actual,games_actual,pair,blend_rank,curve_rank,blend_rank_lin,curve_rank_lin,blend_tail,curve_tail
11643,Jaylen Wright,RB,159.6,,135.67405100121235,135.67405100121235,,25.200000000000003,13,2023->2024,135.64941257712903,135.64941257712903,108.89678817458,108.89678817458,108.88770297097727,108.88770297097727
11624,Xavier Worthy,WR,78.8,,156.83397065507964,156.83397065507964,162.57100000000003,157.7,16,2023->2024,156.36153194661185,156.36153194661185,158.09840826652595,158.09840826652595,158.09840826652595,158.09840826652595
6768,Tua Tagovailoa,QB,89.6,265.58660571407836,277.4772534367203,269.74833241700304,311.9194,188.58,11,2023->2024,269.138296229551,275.73429290114296,269.138296229551,275.734292901143,269.138296229551,275.7342929011429
6783,Jerry Jeudy,WR,127.7,133.4120009165534,140.49247049344055,139.0763765780631,138.941,195.9,17,2023->2024,140.93105533002694,142.81081893339532,136.6625294481522,137.4751615810519,136.66252944815233,137.47516158105202
8134,Khalil Shakir,WR,104.7,86.23016418046069,147.21444133009192,135.0175859001657,136.66299999999998,144.5,15,2023->2024,136.092311604726,148.55784846079234,134.6621564770354,146.77015455117908,134.66215647703547,146.77015455117913
4068,Mike Williams,WR,117.7,165.5756151982636,143.25271120934303,147.71729200712716,102.102,46.3,14,2023->2024,149.00272374164499,144.85950087749032,145.82829810369552,140.89146883005347,145.82829810369557,140.89146883005358
7569,Nico Collins,WR,31.3,206.73934240947358,188.08694785167845,191.81742676323748,208.30100000000004,176.60000000000002,12,2023->2024,188.73679342507427,184.23615617897445,193.45242087822797,190.13069049541653,193.45242087822788,190.13069049541647
9493,Puka Nacua,WR,14.9,211.10230385790692,213.21189710180275,212.78997845302362,224.468,167.1,11,2023->2024,211.22284316052583,211.2529779861805,213.39576447501608,213.96912962929332,213.39576447501602,213.96912962929326
7564,Ja'Marr Chase,WR,6.3,203.14747807917266,242.34985149345715,234.5093768106003,201.72199999999998,339.5,17,2023->2024,237.75592198559227,246.40803296219715,232.89358702589715,240.33011426257823,232.8935870258971,240.33011426257815
8230,Ty Chandler,RB,138.2,108.17672422502407,140.4781761319624,119.48223239245249,91.936,25.400000000000002,14,2023->2024,118.97234120714549,139.02134417394245,111.71072903402153,118.27388082215964,111.7107290340215,118.27388082215961
