sleeper_id,name,pos,adp,usage,curve,blend,lines,actual,games_actual,pair,blend_rank,curve_rank,blend_rank_lin,curve_rank_lin,blend_tail,curve_tail
11655,Tyrone Tracy Jr.,RB,174.0,,139.1335985517178,139.1335985517178,59.05800000000001,182.3,17,2023->2024,137.32670065447263,137.32670065447263,105.25520761779174,105.25520761779174,105.25282682029501,105.25282682029501
11635,Ladd McConkey,WR,98.4,,179.04112918535725,179.04112918535725,167.144,240.9,16,2023->2024,180.42191595301773,180.42191595301773,181.95921121405405,181.95921121405405,181.99029323786013,181.99029323786013
7600,Pat Freiermuth,TE,135.5,119.05479985808448,143.91030152951802,130.23977561022957,129.353,170.3,17,2023->2024,131.00040048847436,145.60057903672867,131.00040048847436,145.60057903672862,131.00040048847438,145.60057903672873
11581,MarShawn Lloyd,RB,159.1,,142.86382942356175,142.86382942356175,,2.8,1,2023->2024,139.03696222496984,139.03696222496984,109.99854690951678,109.99854690951678,109.99854690951663,109.99854690951663
8155,Breece Hall,RB,2.2,244.4414596396457,321.2483088317999,271.3238568568996,274.55,240.9,16,2023->2024,267.00541868249064,308.9099140477741,258.0572711411759,283.3437782154462,258.0572711411759,283.34377821544626
8132,Tyler Allgeier,RB,125.1,127.65106163636108,152.8816648445544,136.48177275922873,104.227,106.2,17,2023->2024,136.11706850137838,151.8396526792676,132.45984766663614,141.39045029428976,132.4598476666361,141.39045029428968
4983,DJ Moore,WR,43.7,260.7954812859296,213.42717080831488,222.90083290383785,224.99500000000003,238.10000000000002,17,2023->2024,220.99654048890102,211.04680528964383,228.60696720200787,220.5598386810274,228.6771294892444,220.6475415400731
7594,Chuba Hubbard,RB,108.8,169.09499113378007,158.6986247354065,165.45626289434932,174.199,241.60000000000002,15,2023->2024,164.69929790042394,156.53586760990547,162.8670936965634,151.30099845601808,162.86709369656333,151.300998456018
5001,Dalton Schultz,TE,117.9,155.96379064327488,149.95623290836082,153.86114543605498,155.414,118.2,17,2023->2024,154.65363126528325,152.2204781347274,154.65363126528325,152.22047813472733,154.65363126528328,152.22047813472744
2309,Amari Cooper,WR,49.2,231.46420767232866,208.40518253228822,213.01698756029631,223.618,122.7,13,2023->2024,210.45689850100968,205.2050712081799,217.66495155398206,214.2151375243954,217.73011692086862,214.2965942330036
9500,Josh Downs,WR,155.9,148.89040918594665,159.54660703794914,157.41536746754866,,183.5,14,2023->2024,160.73763251184394,163.69943834331823,152.3811701764999,153.2538604241382,152.35401279628724,153.21991369887235
11439,Jaleel McLaughlin,RB,126.6,103.12810272817887,152.3850183765079,120.36802320509403,121.295,97.2,16,2023->2024,119.7890689377733,150.7308633270201,115.66034121949237,138.93449841764598,115.66034121949235,138.93449841764593
