player,sleeper_id,pos,team,bye,proj_pts,vorp,vorp_flex,tier,cliff_flag,pos_rank,value_rank,ecr,adp,adp_delta,proj_source,avail_status,exp_games,rookie_flag,backs_up,starter_exp_games,starter_avail,wopr,tprr,yprr,hv_touches,routes_proxy,upside_flag,upside_why,alpha_used,proj_as_of,n_sources,proj_sd,proj_hi,proj_lo,proj_band,non_starter,contingent_of,backs_up_pos,starter_fragility,starter_fragility_label,yahoo_rank
Luther Burden III,12519,WR,CHI,10,161.6,-2.2,-10.541176470588255,8,false,27,99,46.99,58.7,-40.3,fantasypros_sheet,compromised,14.0,false,,,,0.271,0.254,2.76,0,true,false,,0.0,2026-09-01,1,0.0,161.6,161.6,10.3,false,,Rome Odunze,0.32,low,44.0
Bo Nix,11563,QB,DEN,10,280.8,-3.0,-2.9703529411764293,2,false,14,100,99.3,98.8,-1.2,fantasypros_sheet,,16.0,false,,,,0.003,0.001,0.0,6,true,false,,0.0,2026-09-01,1,0.0,280.8,280.8,13.4,false,,,,"",102.0
Chase McLaughlin,6650,K,TBB,10,133.5,-3.0,-3.0,1,false,12,101,227.08,145.5,44.5,kdef_synthetic,,16.0,false,,,,,,,,,false,,0.0,,0,,,,,false,,,,"",265.0
Dalton Kincaid,10236,TE,BUF,7,123.9,-3.5,-48.301176470588246,2,false,14,102,112.42,97.3,-4.7,fantasypros_sheet,,12.7,false,,,,0.369,0.291,3.4,5,true,false,,0.0,2026-09-01,1,0.0,123.9,123.9,12.8,false,,,,"",107.0
Green Bay Packers,GB,DEF,GBP,11,113.0,-4.0,-4.0,1,false,12,103,204.15,,,kdef_synthetic,,16.0,false,,,,,,,,,false,,0.0,,0,,,,,false,,,,"",237.0
Harrison Mevis,12015,K,LAR,11,132.0,-4.5,-4.5,1,false,13,104,227.34,132.4,28.4,kdef_synthetic,,16.0,false,,,,,,,,,false,,0.0,,0,,,,,false,,,,"",253.0
Jake Ferguson,8110,TE,DAL,14,122.5,-4.9,-49.67529411764707,2,false,15,105,118.47,116.7,11.7,fantasypros_sheet,,15.0,false,,,,0.31,0.209,1.23,14,true,false,,0.0,2026-09-01,1,0.0,122.5,122.5,8.8,false,,,,"",146.0
Christian Watson,8167,WR,GBP,11,157.9,-6.0,-14.258823529411757,8,false,28,106,57.65,68.0,-38.0,fantasypros_sheet,,12.0,false,,,,0.548,0.236,2.62,4,true,false,,0.0,2026-09-01,1,0.0,157.9,157.9,11.9,false,,,,"",53.0
Brandon McManus,1433,K,FA,,130.5,-6.0,-6.0,1,true,14,107,229.8,,,kdef_synthetic,,16.0,false,,,,,,,,,false,,0.0,,0,,,,,false,,,,"",368.0
Kansas City Chiefs,KC,DEF,KCC,5,111.0,-6.0,-6.0,1,false,13,108,209.54,,,kdef_synthetic,,16.0,false,,,,,,,,,false,,0.0,,0,,,,,false,,,,"",238.0
Matthew Stafford,421,QB,LAR,11,276.6,-7.1,-7.081411764705933,2,false,15,109,104.33,99.7,-9.3,fantasypros_sheet,,15.0,false,,,,0.0,0.0,0.0,4,true,false,,0.0,2026-09-01,1,0.0,276.6,276.6,10.7,false,,,,"",113.0
