sleeper_id,name,pos,adp,usage,curve,blend,lines,actual,games_actual,pair,blend_gt,lines_gt
11581,MarShawn Lloyd,RB,159.5,,135.6949655842663,135.6949655842663,,2.3,1,2023->2024,135.6949655842663,
4984,Josh Allen,QB,27.3,347.22162994322764,331.35505621183705,341.6683291372409,386.053,385.04,16,2023->2024,362.84924523642775,409.98543829033645
6945,Antonio Gibson,RB,147.9,108.36933926512775,138.21459342638917,126.2764917618846,88.179,91.9,17,2023->2024,126.2764917618846,88.179
421,Matthew Stafford,QB,119.1,266.2375340401111,264.57488320319595,265.65560624719075,304.5958,222.58,16,2023->2024,242.53262537927063,278.08341821613806
2309,Amari Cooper,WR,49.5,192.56323986809235,172.5719211812721,176.57018491863616,186.558,100.7,13,2023->2024,182.1383603061109,192.44114309358167
6790,D'Andre Swift,RB,57.9,189.27628842359934,169.50887786991888,177.41584209139106,167.858,193.5,17,2023->2024,171.02764513385264,161.81395144008556
7525,DeVonta Smith,WR,40.2,174.37779159532872,179.6161731177205,178.56849681324215,191.04600000000002,165.4,13,2023->2024,190.47748807405384,203.78713399068673
6803,Brandon Aiyuk,WR,40.5,192.58751822099643,179.36450356631357,182.00910649725017,173.34900000000002,49.900000000000006,7,2023->2024,194.14755699297703,184.90989547099417
7523,Trevor Lawrence,QB,133.7,277.9265950591914,259.3327084852315,266.7702631148154,298.49960000000004,152.2,10,2023->2024,243.55026118346476,272.5178387362857
4217,George Kittle,TE,72.4,153.43466558742392,140.17578607679158,145.47933788104453,161.56799999999998,197.60000000000002,15,2023->2024,149.68820487128195,166.24232854578094
11439,Jaleel McLaughlin,RB,128.1,89.14327596535648,143.01058938668265,107.99683566282064,106.08,85.2,16,2023->2024,96.05651929305701,94.35161228631645
4034,Christian McCaffrey,RB,1.3,335.000240074498,296.19020579312394,311.71421950567355,,40.300000000000004,4,2023->2024,313.02075282117903,
5248,Gus Edwards,RB,86.9,170.23798143923696,155.9596197232055,161.67096440961808,150.603,62.6,11,2023->2024,153.38482966584613,142.88413251273434
1466,Travis Kelce,TE,32.0,172.15371167497239,172.93559690941296,172.62284281563674,200.71899999999997,146.9,16,2023->2024,177.61699934308643,206.52600727483537
9508,Tyjae Spears,RB,89.9,133.91293235156883,154.82707155610774,141.23288107315744,147.526,98.60000000000001,12,2023->2024,133.99426103339425,139.9648382374431
5849,Kyler Murray,QB,68.4,289.93223110589486,289.71658682726337,289.8351911805107,299.6216,308.24,17,2023->2024,314.10360009780396,324.7094420927328
5937,Diontae Johnson,WR,105.7,163.74029410864418,146.89267656184595,150.2622000712056,155.38,72.60000000000001,11,2023->2024,146.15719143371277,151.13517833632554
3321,Tyreek Hill,WR,3.9,286.10793671139334,258.5831119096069,264.0880768699642,288.864,177.70000000000002,17,2023->2024,278.26184575100825,304.3675078545781
5844,T.J. Hockenson,TE,108.6,171.82481723006165,123.90702691994198,155.0535906215198,,66.0,10,2023->2024,157.502967750708,
1426,DeAndre Hopkins,WR,91.7,191.84247781018695,151.70208421836827,159.730162936732,141.015,119.0,16,2023->2024,155.36649929935209,137.16261535008977
3198,Derrick Henry,RB,13.1,194.51329112664664,219.09904201772017,209.26474166129077,217.413,326.90000000000003,17,2023->2024,210.14186352366428,218.32427484711624
8155,Breece Hall,RB,4.4,211.94353329948427,255.5051134446917,227.19008635030684,246.58500000000004,212.4,16,2023->2024,228.14234132680411,247.61854770954895
1689,Adam Thielen,WR,138.1,171.78965458856413,137.84225560289195,144.6317354000264,122.79100000000001,115.5,10,2023->2024,144.6317354000264,122.79100000000001
11637,Keon Coleman,WR,81.5,,155.6935836202121,155.6935836202121,133.43300000000002,97.0,13,2023->2024,151.44019517481254,129.78774778575706
8132,Tyler Allgeier,RB,113.3,117.32064135111824,147.10739615808114,127.74600553355526,95.47200000000001,99.7,17,2023->2024,113.62218688940085,84.91645105768481
6130,Devin Singletary,RB,109.7,145.81266861812148,148.18488149949144,147.23599634694347,178.602,86.1,15,2023->2024,130.95733071188081,158.85545491667318
8130,Trey McBride,TE,58.9,134.09218157858936,148.45592119103907,139.11949044294676,158.96699999999998,188.3,16,2023->2024,143.14436050045794,163.56607893850983
8121,Romeo Doubs,WR,100.0,139.57918459193561,148.76910805903518,146.93112336561526,148.835,109.1,13,2023->2024,142.91711631496275,144.76898099940155
11604,Brock Bowers,TE,108.1,,124.09218505672519,124.09218505672519,121.176,206.70000000000002,17,2023->2024,126.05246574916565,123.09021380064007
4035,Alvin Kamara,RB,47.4,248.1607966489567,176.1858963810081,204.97585648818756,222.05400000000003,231.3,14,2023->2024,197.59530846411567,214.05852073226635
8167,Christian Watson,WR,82.8,160.13245485503222,155.15791549252447,156.15282336502605,146.251,90.8,14,2023->2024,151.88688896250454,142.25557321962896
9753,Zach Charbonnet,RB,114.6,109.45025479738958,146.72669890895918,122.49701023643894,98.787,165.9,17,2023->2024,108.9535295631733,87.8649389416322
9997,Zay Flowers,WR,56.9,166.12626031665812,167.85593251895222,167.5099980784934,174.556,172.5,17,2023->2024,172.7924586982544,180.06065767130463
8148,Jameson Williams,WR,99.9,90.6372513654231,148.80297439376073,137.1698297880932,139.077,183.20000000000002,15,2023->2024,133.4224912304472,135.27755951526032
3164,Ezekiel Elliott,RB,131.2,144.79154961652586,142.212675781306,143.24422531539395,137.326,51.5,15,2023->2024,127.40689676858791,122.14300064885646
2374,Tyler Lockett,WR,111.9,159.56772118973578,144.9632363797588,147.88413334175422,149.464,96.5,17,2023->2024,143.8440910395094,145.3807973668462
96,Aaron Rodgers,QB,116.4,,265.61442997927065,265.61442997927065,257.32559999999995,267.58,17,2023->2024,242.49503314282939,234.92767281268695
4663,Austin Ekeler,RB,88.7,201.81664230622633,155.27548882360855,173.89195021665566,147.57700000000003,114.8,12,2023->2024,164.9794523193723,140.01322433040374
6770,Joe Burrow,QB,81.0,252.69731545993238,282.0517137059291,265.9067946706309,333.2136,381.82,17,2023->2024,288.17163697866715,361.11415917180545
9221,Jahmyr Gibbs,RB,8.6,225.7216052774968,233.1424775421476,228.31891057012456,240.448,336.90000000000003,17,2023->2024,229.27589695237188,241.4558248055057
11635,Ladd McConkey,WR,88.5,,152.90440901388695,152.90440901388695,137.309,199.9,16,2023->2024,148.72721794776848,133.55785945541592
3163,Jared Goff,QB,92.3,277.9042987107631,276.13134623566896,277.2837653444801,324.7136,335.96000000000004,17,2023->2024,253.1486556375188,296.4501409056453
9486,Dontayvion Wicks,WR,158.9,100.44536953862183,133.09328606427283,126.56370275914264,109.07200000000002,91.0,17,2023->2024,126.56370275914264,109.07200000000002
11575,Ray Davis,RB,162.1,,135.15540182594492,135.15540182594492,79.22,107.60000000000001,17,2023->2024,135.15540182594492,79.22
