season,week,game_id,team,player_id,pos
2025,1,2025_01_HOU_LA,LA,00-0038359,WR
2025,1,2025_01_HOU_LA,LA,00-0039074,TE
2025,1,2025_01_HOU_LA,LA,00-0039075,WR
2025,1,2025_01_HOU_LA,LA,00-0039738,RB
2025,1,2025_01_HOU_LA,LA,00-0039751,WR
2025,1,2025_01_HOU_LA,LA,00-0040590,WR
2025,1,2025_01_KC_LAC,KC,00-0030506,TE
2025,1,2025_01_KC_LAC,KC,00-0033757,TE
2025,1,2025_01_KC_LAC,KC,00-0033857,WR
2025,1,2025_01_KC_LAC,KC,00-0033873,QB
2025,1,2025_01_KC_LAC,KC,00-0033923,RB
2025,1,2025_01_KC_LAC,KC,00-0035662,WR
2025,1,2025_01_KC_LAC,KC,00-0036637,TE
2025,1,2025_01_KC_LAC,KC,00-0037197,RB
2025,1,2025_01_KC_LAC,KC,00-0038104,WR
2025,1,2025_01_KC_LAC,KC,00-0038492,WR
2025,1,2025_01_KC_LAC,KC,00-0038519,WR
2025,1,2025_01_KC_LAC,KC,00-0039894,WR
2025,1,2025_01_KC_LAC,KC,00-0040078,RB
2025,1,2025_01_KC_LAC,LAC,00-0030279,WR
2025,1,2025_01_KC_LAC,LAC,00-0034159,TE
2025,1,2025_01_KC_LAC,LAC,00-0034270,TE
2025,1,2025_01_KC_LAC,LAC,00-0036355,QB
2025,1,2025_01_KC_LAC,LAC,00-0036893,RB
2025,1,2025_01_KC_LAC,LAC,00-0037617,RB
2025,1,2025_01_KC_LAC,LAC,00-0038544,WR
2025,1,2025_01_KC_LAC,LAC,00-0038573,WR
2025,1,2025_01_KC_LAC,LAC,00-0038614,RB
2025,1,2025_01_KC_LAC,LAC,00-0039915,WR
2025,1,2025_01_KC_LAC,LAC,00-0040184,WR
2025,1,2025_01_KC_LAC,LAC,00-0040666,RB
2025,1,2025_01_KC_LAC,LAC,00-0040727,WR
2025,1,2025_01_LV_NE,LV,00-0030565,QB
2025,1,2025_01_LV_NE,LV,00-0034365,TE
2025,1,2025_01_LV_NE,LV,00-0034960,WR
2025,1,2025_01_LV_NE,LV,00-0035602,WR
2025,1,2025_01_LV_NE,LV,00-0038040,RB
2025,1,2025_01_LV_NE,LV,00-0038563,WR
2025,1,2025_01_LV_NE,LV,00-0039066,TE
2025,1,2025_01_LV_NE,LV,00-0039338,TE
2025,1,2025_01_LV_NE,LV,00-0040122,RB
2025,1,2025_01_LV_NE,LV,00-0040581,WR
2025,1,2025_01_LV_NE,LV,00-0040729,WR
2025,1,2025_01_LV_NE,NE,00-0031588,WR
2025,1,2025_01_LV_NE,NE,00-0032392,TE
2025,1,2025_01_LV_NE,NE,00-0033090,TE
2025,1,2025_01_LV_NE,NE,00-0033555,WR
2025,1,2025_01_LV_NE,NE,00-0036328,RB
2025,1,2025_01_LV_NE,NE,00-0036875,RB
2025,1,2025_01_LV_NE,NE,00-0038608,WR
2025,1,2025_01_LV_NE,NE,00-0038621,WR
2025,1,2025_01_LV_NE,NE,00-0039305,RB
2025,1,2025_01_LV_NE,NE,00-0039851,QB
2025,1,2025_01_LV_NE,NE,00-0040131,WR
2025,1,2025_01_LV_NE,NE,00-0040734,RB
2025,1,2025_01_MIA_IND,IND,00-0033217,TE
2025,1,2025_01_MIA_IND,IND,00-0035021,WR
2025,1,2025_01_MIA_IND,IND,00-0035710,QB
2025,1,2025_01_MIA_IND,IND,00-0036223,RB
2025,1,2025_01_MIA_IND,IND,00-0036252,WR
2025,1,2025_01_MIA_IND,IND,00-0037292,TE
2025,1,2025_01_MIA_IND,IND,00-0037664,WR
2025,1,2025_01_MIA_IND,IND,00-0038997,WR
2025,1,2025_01_MIA_IND,IND,00-0039890,WR
2025,1,2025_01_MIA_IND,IND,00-0040128,TE
2025,1,2025_01_MIA_IND,IND,00-0040179,RB
2025,1,2025_01_MIA_IND,IND,00-0040476,RB
2025,1,2025_01_MIA_IND,MIA,00-0033040,WR
2025,1,2025_01_MIA_IND,MIA,00-0034115,RB
2025,1,2025_01_MIA_IND,MIA,00-0035125,RB
2025,1,2025_01_MIA_IND,MIA,00-0036182,WR
2025,1,2025_01_MIA_IND,MIA,00-0036212,QB
2025,1,2025_01_MIA_IND,MIA,00-0036613,WR
2025,1,2025_01_MIA_IND,MIA,00-0036620,WR
2025,1,2025_01_MIA_IND,MIA,00-0037013,QB
2025,1,2025_01_MIA_IND,MIA,00-0037348,TE
2025,1,2025_01_MIA_IND,MIA,00-0038720,TE
2025,1,2025_01_MIA_IND,MIA,00-0039040,RB
2025,1,2025_01_MIA_IND,MIA,00-0039880,WR
2025,1,2025_01_MIA_IND,MIA,00-0040198,RB
2025,1,2025_01_MIN_CHI,CHI,00-0034798,TE
2025,1,2025_01_MIN_CHI,CHI,00-0034827,WR
2025,1,2025_01_MIN_CHI,CHI,00-0035208,WR
2025,1,2025_01_MIN_CHI,CHI,00-0036275,RB
2025,1,2025_01_MIN_CHI,CHI,00-0036290,TE
2025,1,2025_01_MIN_CHI,CHI,00-0039918,QB
2025,1,2025_01_MIN_CHI,CHI,00-0039919,WR
2025,1,2025_01_MIN_CHI,CHI,00-0040126,TE
2025,1,2025_01_MIN_CHI,CHI,00-0040236,RB
2025,1,2025_01_MIN_CHI,CHI,00-0040735,WR
2025,1,2025_01_MIN_CHI,MIN,00-0030035,WR
2025,1,2025_01_MIN_CHI,MIN,00-0033293,RB
2025,1,2025_01_MIN_CHI,MIN,00-0035229,TE
2025,1,2025_01_MIN_CHI,MIN,00-0035249,TE
2025,1,2025_01_MIN_CHI,MIN,00-0036322,WR
2025,1,2025_01_MIN_CHI,MIN,00-0036497,WR
2025,1,2025_01_MIN_CHI,MIN,00-0037291,WR
2025,1,2025_01_MIN_CHI,MIN,00-0037525,RB
2025,1,2025_01_MIN_CHI,MIN,00-0039923,QB
2025,1,2025_01_MIN_CHI,MIN,00-0040509,TE
2025,1,2025_01_NYG_WAS,NYG,00-0029263,QB
2025,1,2025_01_NYG_WAS,NYG,00-0031484,TE
2025,1,2025_01_NYG_WAS,NYG,00-0035250,RB
2025,1,2025_01_NYG_WAS,NYG,00-0035535,WR
2025,1,2025_01_NYG_WAS,NYG,00-0038115,TE
2025,1,2025_01_NYG_WAS,NYG,00-0038117,WR
2025,1,2025_01_NYG_WAS,NYG,00-0039337,WR
2025,1,2025_01_NYG_WAS,NYG,00-0039384,RB
2025,1,2025_01_NYG_WAS,NYG,00-0039847,TE
2025,1,2025_01_NYG_WAS,NYG,00-0040432,WR
2025,1,2025_01_NYG_WAS,NYG,00-0040715,RB
2025,1,2025_01_NYG_WAS,WAS,00-0030061,TE
2025,1,2025_01_NYG_WAS,WAS,00-0032398,WR
2025,1,2025_01_NYG_WAS,WAS,00-0033591,WR
2025,1,2025_01_NYG_WAS,WAS,00-0033699,RB
2025,1,2025_01_NYG_WAS,WAS,00-0033955,RB
2025,1,2025_01_NYG_WAS,WAS,00-0035659,WR
2025,1,2025_01_NYG_WAS,WAS,00-0035719,WR
2025,1,2025_01_NYG_WAS,WAS,00-0036628,TE
2025,1,2025_01_NYG_WAS,WAS,00-0039355,WR
2025,1,2025_01_NYG_WAS,WAS,00-0039686,TE
2025,1,2025_01_NYG_WAS,WAS,00-0039910,QB
2025,1,2025_01_NYG_WAS,WAS,00-0039912,TE
2025,1,2025_01_NYG_WAS,WAS,00-0040164,WR
2025,1,2025_01_NYG_WAS,WAS,00-0040242,RB
2025,1,2025_01_PIT_NYJ,NYJ,00-0033943,WR
2025,1,2025_01_PIT_NYJ,NYJ,00-0034959,RB
2025,1,2025_01_PIT_NYJ,NYJ,00-0036427,WR
2025,1,2025_01_PIT_NYJ,NYJ,00-0036945,QB
2025,1,2025_01_PIT_NYJ,NYJ,00-0037740,WR
2025,1,2025_01_PIT_NYJ,NYJ,00-0037805,TE
2025,1,2025_01_PIT_NYJ,NYJ,00-0038120,RB
2025,1,2025_01_PIT_NYJ,NYJ,00-0039794,RB
2025,1,2025_01_PIT_NYJ,NYJ,00-0039798,RB
2025,1,2025_01_PIT_NYJ,NYJ,00-0040582,WR
2025,1,2025_01_PIT_NYJ,NYJ,00-0040736,TE
2025,1,2025_01_PIT_NYJ,PIT,00-0023459,QB
2025,1,2025_01_PIT_NYJ,PIT,00-0033858,TE
2025,1,2025_01_PIT_NYJ,PIT,00-0035298,WR
