team,posgrp,metric,n,value,league,var_play,k_eb,between_var
CIN,ALL,catch_rate,514,0.6770428015564203,0.6717168692736092,,320.9784577564491,0.0015226021030540439
CIN,OTHER,ypt,47,8.382978723404255,7.014322916666667,111.93709528214619,71.82482665639307,0.021704806539040153
CIN,OTHER,catch_rate,47,0.6382978723404256,0.6796875,,111.42454609768586,0.004229448396432637
CIN,RB,ypt,98,7.122448979591836,5.776709401709402,69.0982537344835,155.33379421101966,0.01217468644255527
CIN,RB,catch_rate,98,0.7959183673469388,0.7795584045584045,,269.6993396752406,0.0010484917179406582
CIN,TE,ypt,135,8.459259259259259,7.402552926525529,114.44422332780543,477.88573528846166,0.002517228048063173
CIN,TE,catch_rate,135,0.6962962962962963,0.7238480697384807,,3197.323600121806,0.00011932022655747202
CIN,WR,ypt,232,8.27155172413793,7.8248111244935945,89.16836468129574,512.9979346061339,0.003362458988259805
CIN,WR,catch_rate,232,0.6206896551724138,0.6188547027263769,,592.4406304935924,0.0010395778909722611
CLE,ALL,ypt,465,6.903225806451613,7.319899395173364,79.59190767519476,423.2498391543696,0.00391817122363068
CLE,ALL,catch_rate,465,0.6623655913978495,0.6717168692736092,,320.9784577564491,0.0015226021030540439
CLE,OTHER,ypt,36,9.61111111111111,7.014322916666667,109.84444444444445,71.82482665639307,0.021704806539040153
CLE,OTHER,catch_rate,36,0.75,0.6796875,,111.42454609768586,0.004229448396432637
CLE,RB,ypt,89,4.921348314606742,5.776709401709402,60.323289070480044,155.33379421101966,0.01217468644255527
CLE,RB,catch_rate,89,0.7640449438202247,0.7795584045584045,,269.6993396752406,0.0010484917179406582
CLE,TE,ypt,94,7.0638297872340425,7.402552926525529,61.35072065888812,477.88573528846166,0.002517228048063173
CLE,TE,catch_rate,94,0.7127659574468085,0.7238480697384807,,3197.323600121806,0.00011932022655747202
CLE,WR,ypt,246,7.162601626016261,7.8248111244935945,87.50814667330349,512.9979346061339,0.003362458988259805
CLE,WR,catch_rate,246,0.5934959349593496,0.6188547027263769,,592.4406304935924,0.0010395778909722611
DAL,ALL,ypt,523,8.64435946462715,7.319899395173364,109.0188713801162,423.2498391543696,0.00391817122363068
DAL,ALL,catch_rate,523,0.7284894837476099,0.6717168692736092,,320.9784577564491,0.0015226021030540439
DAL,OTHER,ypt,35,9.2,7.014322916666667,73.45882352941176,71.82482665639307,0.021704806539040153
DAL,OTHER,catch_rate,35,0.8857142857142857,0.6796875,,111.42454609768586,0.004229448396432637
DAL,RB,ypt,99,7.414141414141414,5.776709401709402,64.63285920428778,155.33379421101966,0.01217468644255527
DAL,RB,catch_rate,99,0.8484848484848485,0.7795584045584045,,269.6993396752406,0.0010484917179406582
DAL,TE,ypt,104,7.0673076923076925,7.402552926525529,43.46144510828978,477.88573528846166,0.002517228048063173
DAL,TE,catch_rate,104,0.75,0.7238480697384807,,3197.323600121806,0.00011932022655747202
DAL,WR,ypt,285,9.578947368421053,7.8248111244935945,151.16716085989617,512.9979346061339,0.003362458988259805
DAL,WR,catch_rate,285,0.6596491228070176,0.6188547027263769,,592.4406304935924,0.0010395778909722611
DEN,ALL,ypt,557,6.473967684021544,7.319899395173364,83.82890743060845,423.2498391543696,0.00391817122363068
DEN,ALL,catch_rate,557,0.6157989228007181,0.6717168692736092,,320.9784577564491,0.0015226021030540439
DEN,OTHER,ypt,60,5.583333333333333,7.014322916666667,68.75564971751413,71.82482665639307,0.021704806539040153
DEN,OTHER,catch_rate,60,0.6,0.6796875,,111.42454609768586,0.004229448396432637
DEN,RB,ypt,64,5.40625,5.776709401709402,87.26091269841268,155.33379421101966,0.01217468644255527
DEN,RB,catch_rate,64,0.65625,0.7795584045584045,,269.6993396752406,0.0010484917179406582
DEN,TE,ypt,117,6.931623931623932,7.402552926525529,79.85735337459474,477.88573528846166,0.002517228048063173
DEN,TE,catch_rate,117,0.6495726495726496,0.7238480697384807,,3197.323600121806,0.00011932022655747202
DEN,WR,ypt,316,6.689873417721519,7.8248111244935945,87.7193891902753,512.9979346061339,0.003362458988259805
DEN,WR,catch_rate,316,0.5981012658227848,0.6188547027263769,,592.4406304935924,0.0010395778909722611
DET,ALL,ypt,541,7.44362292051756,7.319899395173364,100.33616759088109,423.2498391543696,0.00391817122363068
DET,ALL,catch_rate,541,0.6321626617375231,0.6717168692736092,,320.9784577564491,0.0015226021030540439
DET,OTHER,ypt,46,6.173913043478261,7.014322916666667,76.23574879227051,71.82482665639307,0.021704806539040153
DET,OTHER,catch_rate,46,0.5652173913043478,0.6796875,,111.42454609768586,0.004229448396432637
DET,RB,ypt,75,5.293333333333333,5.776709401709402,79.50738738738741,155.33379421101966,0.01217468644255527
DET,RB,catch_rate,75,0.76,0.7795584045584045,,269.6993396752406,0.0010484917179406582
DET,TE,ypt,110,7.545454545454546,7.402552926525529,70.94745621351126,477.88573528846166,0.002517228048063173
