gsis_id,target_share,catch_rate,ypt,rush_share,ypc,i10_target_share,i10_carry_share,targets_n,team_targets_n,carries_n,team_carries_n,i10_targets_n,i10_carries_n,n_games,team_prior,full_name,snap_pct_25
00-0031549,0.07902,0.48276,7.96552,0.0,,0.04545,0.0,29.0,367,0.0,393,22.0,34.0,16,BAL,Nelson Agholor,0.45714
00-0031585,0.06211,0.6,4.0,0.0,,0.11111,0.0,10.0,161,0.0,192,9.0,17.0,13,PIT,MyCole Pruitt,0.33917
00-0031588,0.23881,0.73438,7.75,0.01382,2.66667,0.21053,0.05263,64.0,268,3.0,217,19.0,19.0,8,HOU,Stefon Diggs,0.78375
00-0031595,0.02725,1.0,6.5,0.02397,1.14286,0.08,0.16,10.0,367,7.0,292,25.0,25.0,18,DEN,Michael Burton,0.15529
00-0031687,0.06,0.79167,6.70833,0.26814,3.27059,0.03448,0.43478,24.0,400,85.0,317,29.0,23.0,13,MIA,Raheem Mostert,0.31385
00-0031690,0.03571,0.5,2.25,0.0,,0.2,0.0,4.0,112,0.0,112,5.0,5.0,9,LAC,Eric Tomlinson,0.23111
00-0031763,0.08696,0.64286,5.14286,0.0,,0.08333,0.0,14.0,161,0.0,123,12.0,9.0,13,CHI,DeAndre Carter,0.14
00-0031800,0.0,,,0.03279,10.0,0.0,0.0,0.0,69,2.0,61,2.0,7.0,16,LAC,Taylor Heinicke,0.0975
00-0031941,0.10236,0.69231,5.53846,0.0,,0.22222,0.0,13.0,127,0.0,124,9.0,18.0,9,WAS,Jamison Crowder,0.28
00-0032104,0.10021,0.85106,5.55319,0.23404,4.71212,0.14286,0.24242,47.0,469,66.0,282,28.0,33.0,16,LV,Ameer Abdullah,0.36938
00-0032128,0.05381,0.5,6.33333,0.0,,0.05556,0.0,12.0,223,0.0,175,18.0,30.0,15,SF,Chris Conley,0.23733
00-0032141,0.02381,1.0,7.0,0.0,,0.0,,1.0,42,0.0,23,2.0,0.0,8,CLE,Geoff Swaim,0.2625
00-0032211,0.12937,0.66216,8.10811,0.0,,0.2069,0.0,74.0,572,0.0,370,29.0,35.0,17,SEA,Tyler Lockett,0.69059
00-0032268,0.0,,,0.18605,5.875,0.0,0.16667,0.0,83,16.0,86,8.0,12.0,16,WAS,Marcus Mariota,0.51333
00-0032381,0.03704,0.0,0.0,0.0,,0.33333,0.0,1.0,27,0.0,34,3.0,2.0,15,DET,Taylor Decker,0.96286
00-0032385,0.11504,0.61538,6.42308,0.02174,8.625,0.13158,0.0,52.0,452,8.0,368,38.0,36.0,15,TB,Sterling Shepard,0.53286
00-0032392,0.11706,0.76271,8.0678,0.0,,0.03571,0.0,59.0,504,0.0,438,28.0,29.0,17,NE,Austin Hooper,0.52529
00-0032394,0.05249,0.85,6.75,0.0,,0.21053,0.0,20.0,381,0.0,309,19.0,13.0,17,TEN,Nick Vannett,0.36059
00-0032434,0.0,,,0.06667,6.0,0.0,0.0,0.0,26,1.0,15,1.0,1.0,15,SF,Brandon Allen,0.36
00-0032464,0.07692,0.77273,9.77273,0.00667,0.0,0.04762,0.0,22.0,286,2.0,300,21.0,37.0,13,DET,Kalif Raymond,0.27083
00-0032688,0.10811,0.25,1.25,0.0,,0.0,0.0,4.0,37,0.0,34,2.0,3.0,2,MIA,Robbie Chosen,0.195
00-0032764,0.04803,0.86364,8.77273,0.60074,5.91077,0.06452,0.71111,22.0,458,325.0,541,31.0,45.0,19,BAL,Derrick Henry,0.57412
00-0032775,0.12132,0.4697,7.65152,0.0,,0.2381,0.0,66.0,544,0.0,436,42.0,43.0,19,LA,Demarcus Robinson,0.81706
00-0032918,0.03774,0.83333,5.83333,0.01613,5.0,0.0,0.06667,6.0,159,2.0,124,12.0,15.0,18,MIN,C.J. Ham,0.23529
00-0032950,0.0,,,0.0303,2.0,0.0,0.0,0.0,38,1.0,33,2.0,2.0,20,KC,Carson Wentz,0.32333
00-0033009,0.12609,0.67241,6.72414,0.00253,3.0,0.17391,0.0,58.0,460,1.0,395,23.0,26.0,16,TEN,Tyler Boyd,0.6225
00-0033040,0.2164,0.65323,7.73387,0.01814,6.625,0.22222,0.0,124.0,573,8.0,441,45.0,39.0,17,MIA,Tyreek Hill,0.79882
00-0033045,0.02762,0.8,4.6,0.20556,3.05405,0.0,0.44444,15.0,543,74.0,360,21.0,18.0,15,DAL,Ezekiel Elliott,0.25267
00-0033077,0.0,,,0.07237,5.09091,0.0,0.28571,0.0,283,11.0,152,14.0,7.0,8,DAL,Dak Prescott,0.91125
00-0033090,0.20378,0.68041,6.94845,0.0,,0.35714,0.0,97.0,476,0.0,411,28.0,26.0,16,NE,Hunter Henry,0.80625
00-0033106,0.00263,1.0,7.0,0.05391,3.6,0.03125,0.04348,1.0,380,20.0,371,32.0,46.0,18,DET,Jared Goff,0.97118
00-0033110,0.13636,0.66667,5.5,0.0,,0.42857,0.0,12.0,88,0.0,70,7.0,5.0,5,LA,Tyler Higbee,0.32667
00-0033119,0.0,,,0.08219,5.33333,0.0,0.09091,0.0,139,12.0,146,9.0,11.0,17,NE,Jacoby Brissett,0.69875
00-0033217,0.06706,0.52174,6.3913,0.0,,0.125,0.0,23.0,343,0.0,366,16.0,51.0,17,IND,Mo Alie-Cox,0.43824
00-0033246,0.07105,0.7037,5.25926,0.0,,0.09091,0.0,27.0,380,0.0,331,33.0,31.0,18,MIN,Johnny Mundt,0.40294
00-0033280,0.18095,0.78947,7.68421,0.55556,4.04,0.16667,0.25,19.0,105,50.0,90,6.0,4.0,4,SF,Christian McCaffrey,0.7225
00-0033282,0.1122,0.67391,5.5,0.01316,2.8,0.08333,0.01961,46.0,410,5.0,380,24.0,51.0,17,BUF,Curtis Samuel,0.415
00-0033288,0.20614,0.82979,11.76596,0.0,,0.34375,0.0,94.0,456,0.0,389,32.0,51.0,15,SF,George Kittle,0.866
00-0033292,0.02381,1.0,11.0,0.0,,0.0,0.0,1.0,42,0.0,27,2.0,3.0,2,SF,Trent Taylor,0.095
00-0033293,0.11969,0.82258,6.58065,0.59028,4.46275,0.15556,0.66667,62.0,518,255.0,432,45.0,36.0,18,MIN,Aaron Jones,0.63235
00-0033307,0.10053,0.73684,8.02632,0.00341,6.0,0.09524,0.0,38.0,378,1.0,293,21.0,20.0,13,NE,Kendrick Bourne,0.58333
00-0033357,0.13717,0.74194,6.03226,0.15538,7.12821,0.0,0.24,31.0,226,39.0,251,10.0,25.0,8,NO,Taysom Hill,0.425
00-0033375,0.09554,0.73333,8.75556,0.0,,0.15789,0.0,45.0,471,0.0,453,38.0,58.0,17,DET,Tim Patrick,0.59188
00-0033376,0.03788,0.6,4.4,0.0,,0.11111,0.0,5.0,132,0.0,143,9.0,14.0,19,BAL,Patrick Ricard,0.39882
00-0033439,0.04348,0.66667,5.41667,0.0,,0.06667,0.0,12.0,276,0.0,166,15.0,17.0,15,SEA,Pharaoh Brown,0.278
00-0033460,0.06897,0.5,3.0,0.0,,0.0,0.0,2.0,29,0.0,19,1.0,6.0,1,PHI,John Ross,0.21
00-0033526,0.06098,0.8,8.48571,0.04673,4.6,0.0625,0.025,35.0,574,20.0,428,48.0,40.0,20,KC,Samaje Perine,0.25824
00-0033536,0.07812,0.6,8.51429,0.0,,0.08696,0.0,35.0,448,0.0,345,23.0,24.0,19,PIT,Mike Williams,0.29111
00-0033537,0.0,,,0.19355,4.96667,0.0,0.16667,0.0,244,30.0,155,12.0,12.0,7,CLE,Deshaun Watson,0.88857
00-0033553,0.11202,0.85455,7.52727,0.55452,4.57741,0.03571,0.77419,55.0,491,239.0,431,28.0,31.0,16,ARI,James Conner,0.60625
00-0033555,0.10776,0.62,7.56,0.0,,0.23077,0.0,50.0,464,0.0,440,26.0,55.0,20,BUF,Mack Hollins,0.66647
00-0033557,0.0,,,0.04,1.0,,0.0,0.0,25,1.0,25,0.0,2.0,11,DET,Jalen Reeves-Maybin,0.0
00-0033576,0.05512,0.78571,5.71429,0.0,,0.13333,0.0,14.0,254,0.0,216,15.0,24.0,17,SF,Eric Saubert,0.33824
00-0033589,0.13443,0.5614,6.15789,0.0031,0.0,0.17391,0.0303,57.0,424,1.0,323,23.0,33.0,17,CAR,David Moore,0.53941
00-0033591,0.17337,0.625,8.08929,0.0,,0.09091,0.0,56.0,323,0.0,340,22.0,42.0,11,WAS,Noah Brown,0.63091
00-0033662,0.0,,,0.0819,1.42105,0.0,0.16667,0.0,331,19.0,232,18.0,12.0,17,DAL,Cooper Rush,0.69833
00-0033699,0.11884,0.85366,8.92683,0.22714,4.76623,0.04167,0.25581,41.0,345,77.0,339,24.0,43.0,15,WAS,Austin Ekeler,0.52667
00-0033854,0.06114,0.67857,7.07143,0.07902,2.65517,0.09375,0.05882,28.0,458,29.0,367,32.0,34.0,19,HOU,Dare Ogunbowale,0.27647
00-0033857,0.06842,0.69231,8.88462,0.0,,0.08696,0.0,26.0,380,0.0,256,23.0,15.0,17,KC,JuJu Smith-Schuster,0.46643
00-0033858,0.19372,0.79279,7.96396,0.00454,-0.5,0.28889,0.02564,111.0,573,2.0,441,45.0,39.0,17,MIA,Jonnu Smith,0.54882
00-0033863,0.01852,1.0,9.0,0.0,,0.2,0.0,1.0,54,0.0,15,5.0,1.0,18,DET,Dan Skipper,0.27
00-0033869,0.0,,,0.07353,2.4,0.0,0.09091,0.0,49,5.0,68,5.0,11.0,20,BUF,Mitchell Trubisky,0.17778
00-0033873,0.0019,1.0,2.0,0.095,8.86842,0.0,0.05263,1.0,526,38.0,400,44.0,38.0,19,KC,Patrick Mahomes,0.99312
00-0033881,0.2567,0.70149,5.44776,0.0,,0.16667,0.0,67.0,261,0.0,209,18.0,20.0,9,JAX,Evan Engram,0.72
00-0033885,0.22917,0.64646,5.10101,0.0,,0.44444,0.0,99.0,432,0.0,253,27.0,22.0,11,CLE,David Njoku,0.74909
00-0033891,0.05392,0.72727,7.63636,0.0,,0.0,0.0,11.0,204,0.0,157,17.0,15.0,11,ARI,Zay Jones,0.34545
00-0033893,0.01163,1.0,10.0,0.20513,2.5,0.0,0.0,1.0,86,8.0,39,8.0,4.0,2,DAL,Dalvin Cook,0.18
00-0033895,0.04498,0.61538,2.76923,0.0,,0.0,0.0,13.0,289,0.0,227,21.0,21.0,17,CHI,Gerald Everett,0.21588
00-0033897,0.12093,0.69231,5.94231,0.69774,4.11336,0.17857,0.83784,52.0,430,247.0,354,28.0,37.0,16,HOU,Joe Mixon,0.61714
00-0033906,0.2119,0.76404,6.10112,0.5953,4.16667,0.0,0.58621,89.0,420,228.0,383,17.0,29.0,14,NO,Alvin Kamara,0.70857
00-0033908,0.2611,0.67,7.1,0.00647,5.0,0.26667,0.0,100.0,383,2.0,309,30.0,28.0,14,LA,Cooper Kupp,0.815
00-0033921,0.26383,0.80645,9.29032,0.00559,2.0,0.20833,0.0,62.0,235,1.0,179,24.0,19.0,7,TB,Chris Godwin,0.87
00-0033923,0.06809,0.71875,5.5,0.59524,3.64,0.13953,0.8,32.0,470,200.0,336,43.0,30.0,17,KC,Kareem Hunt,0.51692
00-0033925,0.02286,0.75,6.75,0.31004,3.26761,0.0,0.45,8.0,350,71.0,229,18.0,20.0,11,CLE,D'Onta Foreman,0.26727
00-0033943,0.08889,0.54167,8.08333,0.0,,0.16667,0.0,24.0,270,0.0,207,12.0,19.0,9,DEN,Josh Reynolds,0.578
00-0033948,0.02906,0.75,4.75,0.14724,3.41667,0.09091,0.17391,12.0,413,48.0,326,11.0,23.0,14,NO,Jamaal Williams,0.19929
00-0033949,0.0,,,0.17778,3.125,0.0,0.3,0.0,78,8.0,45,6.0,10.0,4,SF,Joshua Dobbs,0.54
00-0033955,0.02837,0.75,2.25,0.12844,4.66071,0.0,0.14286,12.0,423,56.0,436,31.0,56.0,20,WAS,Jeremy McNichols,0.21412
00-0034054,0.0687,0.77778,7.33333,0.0,,0.11111,0.0,9.0,131,0.0,97,9.0,5.0,8,MIA,River Cracraft,0.2275
00-0034073,0.03448,1.0,5.0,0.0,,,,1.0,29,0.0,21,0.0,0.0,17,ATL,Ross Dwelley,0.09882
00-0034115,0.0124,1.0,6.33333,0.09195,3.5625,0.0,0.11111,3.0,242,16.0,174,18.0,18.0,9,MIA,Jeff Wilson,0.11556
00-0034159,0.14849,0.78125,7.51562,0.0,,0.08696,0.0,64.0,431,0.0,407,23.0,44.0,16,LAC,Will Dissly,0.56467
00-0034162,0.0,,,0.03571,0.0,0.0,0.0,0.0,30,1.0,28,3.0,2.0,18,LAC,J.K. Scott,0.0
00-0034177,0.0,,,0.03448,5.0,0.0,0.0,0.0,53,2.0,58,4.0,3.0,7,MIA,Tim Boyle,0.38
00-0034184,0.01701,0.6,1.2,0.38202,3.57843,0.0,0.5,5.0,294,102.0,267,14.0,26.0,12,LAC,Gus Edwards,0.34727
00-0034208,0.0219,0.33333,-0.66667,0.11504,3.92308,0.0,0.09091,3.0,137,13.0,113,7.0,11.0,6,CAR,Mike Boone,0.12
00-0034270,0.1292,0.69863,6.15068,0.00295,0.0,0.16279,0.0,73.0,565,1.0,339,43.0,18.0,16,NYJ,Tyler Conklin,0.80062
00-0034272,0.11765,0.43182,9.34091,0.00296,4.0,0.07692,0.0,44.0,374,1.0,338,13.0,25.0,14,NO,Marquez Valdes-Scantling,0.6675
00-0034348,0.25714,0.6,8.00741,0.0,,0.3,0.0,135.0,525,0.0,411,30.0,31.0,18,DEN,Courtland Sutton,0.85235
00-0034351,0.19331,0.80769,9.53846,0.0,,0.1875,0.0,52.0,269,0.0,323,16.0,31.0,14,PHI,Dallas Goedert,0.65
00-0034353,0.0625,1.0,16.0,0.0,,0.0,0.0,1.0,16,0.0,43,2.0,3.0,4,BAL,Anthony Miller,0.075
00-0034364,0.09385,0.68966,6.72414,0.0,,0.125,0.0,58.0,618,0.0,362,32.0,31.0,17,CLE,Jordan Akins,0.39118
00-0034365,0.07595,0.5,1.16667,0.0,,0.0,0.0,6.0,79,0.0,78,7.0,5.0,5,CAR,Ian Thomas,0.344
00-0034383,0.15539,0.62353,6.25882,0.0,,0.05556,0.0,85.0,547,0.0,422,36.0,41.0,19,HOU,Dalton Schultz,0.78176
00-0034386,0.06349,0.6875,9.03125,0.0,,0.02273,0.0,32.0,504,0.0,369,44.0,38.0,20,KC,Justin Watson,0.60353
00-0034407,0.16111,0.71264,7.88506,0.02066,7.9,0.05,0.0,87.0,540,10.0,484,20.0,51.0,17,ATL,Ray-Ray McCloud,0.85118
00-0034418,0.08257,0.74074,7.81481,0.0,,0.0,0.0,27.0,327,0.0,241,10.0,8.0,15,NO,Cedrick Wilson Jr.,0.396
00-0034419,0.03846,0.0,0.0,0.0,,0.16667,0.0,4.0,104,0.0,77,6.0,7.0,6,MIA,Braxton Berrios,0.26833
00-0034487,0.03814,0.88889,9.22222,0.0,,0.04762,0.0,9.0,236,0.0,234,21.0,18.0,18,MIN,Trent Sherfield,0.16118
00-0034488,0.0,,,0.04762,-2.0,0.0,0.0,0.0,46,1.0,21,4.0,1.0,18,TB,Tavierre Thomas,0.0
00-0034521,0.13761,0.61667,8.83333,0.0,,0.09091,0.0,60.0,436,0.0,255,33.0,15.0,12,NYJ,Allen Lazard,0.84333
00-0034571,0.04348,1.0,1.0,0.0,,0.5,0.0,1.0,23,0.0,30,2.0,4.0,20,WAS,Trent Scott,
00-0034613,0.06818,0.79167,6.41667,0.00538,1.0,0.09091,0.0,24.0,352,1.0,186,33.0,22.0,12,CIN,Tanner Hudson,0.15727
00-0034646,0.04854,0.7,7.1,0.0,,0.0,0.0,10.0,206,0.0,186,19.0,15.0,18,MIN,Brandon Powell,0.19824
00-0034753,0.15066,0.7971,9.75362,0.00739,1.25,0.19355,0.02222,69.0,458,4.0,541,31.0,45.0,19,BAL,Mark Andrews,0.61118
00-0034771,0.0,,,0.11707,4.45833,0.0,0.07692,0.0,231,24.0,205,13.0,13.0,17,TEN,Mason Rudolph,0.8475
00-0034775,0.19342,0.57447,8.06383,0.0,,0.14286,0.0,47.0,243,0.0,191,21.0,24.0,8,JAX,Christian Kirk,0.7
00-0034777,0.07299,0.4,3.1,0.0,,0.28571,0.0,10.0,137,0.0,106,7.0,18.0,8,LAC,DJ Chark,0.21714
00-0034791,0.03245,0.45455,2.81818,0.56044,3.2549,0.04762,0.76923,11.0,339,102.0,182,21.0,13.0,8,CLE,Nick Chubb,0.4125
00-0034796,0.0,,,0.2366,7.24219,0.0,0.2,0.0,458,128.0,541,31.0,45.0,19,BAL,Lamar Jackson,0.96529
00-0034798,0.0364,0.52941,3.11765,0.0,,0.05128,0.0,17.0,467,0.0,320,39.0,29.0,17,MIA,Durham Smythe,0.32235
00-0034827,0.26493,0.69014,6.80282,0.03341,5.35714,0.23529,0.0,142.0,536,14.0,419,34.0,33.0,17,CHI,DJ Moore,0.93824
00-0034829,0.13674,0.78313,8.01205,0.0,,0.04615,0.0,83.0,607,0.0,350,65.0,45.0,17,CIN,Mike Gesicki,0.44765
00-0034830,0.07879,0.61538,5.61538,0.0,,0.3,0.0,13.0,165,0.0,194,10.0,18.0,9,LAC,Hayden Hurst,0.33111
00-0034834,0.02857,1.0,2.0,0.0,,0.2,0.0,1.0,35,0.0,26,5.0,4.0,14,CIN,Sam Hubbard,0.00643
00-0034837,0.23529,0.53333,8.475,0.01786,6.875,0.12,0.03846,120.0,510,8.0,448,25.0,26.0,17,TEN,Calvin Ridley,0.81294
00-0034844,0.11376,0.76744,6.46512,0.60417,5.76149,0.09091,0.45588,43.0,378,348.0,576,22.0,68.0,20,PHI,Saquon Barkley,0.73438
00-0034854,0.06704,0.58333,10.91667,0.0,,0.5,0.0,12.0,179,0.0,127,2.0,16.0,17,ATL,KhaDarel Hodge,0.2
00-0034855,0.0,,,0.11648,7.28302,0.0,0.09756,0.0,533,53.0,455,48.0,41.0,18,TB,Baker Mayfield,0.98529
00-0034857,0.0,,,0.21461,5.73404,0.0,0.33962,0.0,465,94.0,438,27.0,53.0,20,BUF,Josh Allen,0.89059
00-0034860,0.11789,0.41379,4.13793,0.0,,0.33333,0.0,29.0,246,0.0,183,9.0,10.0,8,NO,Dante Pettis,0.3075
00-0034869,0.0,,,0.12748,5.17778,0.0,0.13333,0.0,415,45.0,353,35.0,30.0,18,MIN,Sam Darnold,0.99412
00-0034928,0.0,,,0.03846,0.0,0.0,0.0,0.0,39,1.0,26,3.0,4.0,11,HOU,Steven Sims,0.02
00-0034959,0.02941,0.0,0.0,0.0,,0.0,0.0,2.0,68,0.0,53,4.0,1.0,5,GB,Andrew Beck,0.08
00-0034960,0.24952,0.66923,7.9,0.00619,11.5,0.28,0.0,130.0,521,2.0,323,25.0,32.0,15,LV,Jakobi Meyers,0.91667
00-0034972,0.10021,0.75,6.125,0.43791,3.13433,0.04348,0.55172,48.0,479,134.0,306,23.0,29.0,14,LV,Alexander Mattison,0.49071
00-0034974,0.0,,,0.06667,2.0,0.0,0.0,0.0,42,1.0,15,1.0,3.0,17,SEA,Julian Love,0.0
00-0034975,0.12379,0.82353,7.5098,0.10151,4.74468,0.07407,0.07692,51.0,412,47.0,463,27.0,39.0,17,BAL,Justice Hill,0.41733
00-0034981,0.09149,0.74419,9.60465,0.0,,0.3125,0.0,43.0,470,0.0,366,16.0,19.0,17,NO,Foster Moreau,0.69118
00-0035021,0.03101,0.25,8.375,0.02336,9.0,0.07143,0.0,8.0,258,5.0,214,14.0,29.0,15,IND,Ashton Dulin,0.19867
00-0035125,0.03846,0.91667,8.0,0.04016,1.7,0.04762,0.04762,12.0,312,10.0,249,21.0,21.0,15,MIA,Alec Ingold,0.33133
00-0035140,0.05761,0.85714,6.42857,0.02551,12.4,0.06667,0.0,14.0,243,5.0,196,30.0,24.0,12,KC,Mecole Hardman,0.1375
00-0035208,0.14191,0.70312,7.90625,0.00221,8.0,0.09375,0.0,64.0,451,1.0,453,32.0,62.0,20,WAS,Olamide Zaccheaus,0.42059
00-0035216,0.2012,0.49254,5.59701,0.00752,3.0,0.33333,0.0,67.0,333,2.0,266,27.0,24.0,14,CAR,Diontae Johnson,0.8
00-0035228,0.0,,,0.15904,7.9589,0.0,0.11765,0.0,523,73.0,459,30.0,34.0,17,ARI,Kyler Murray,0.97118
00-0035229,0.18182,0.66129,7.33871,0.0,,0.03448,0.0,62.0,341,0.0,257,29.0,19.0,11,MIN,T.J. Hockenson,0.615
00-0035243,0.0885,0.8,4.93333,0.20992,3.72727,0.0,0.13636,30.0,339,55.0,262,23.0,22.0,11,CAR,Miles Sanders,0.33364
00-0035249,0.08589,0.78571,9.21429,0.0,,0.06667,0.0,28.0,326,0.0,289,30.0,22.0,16,MIN,Josh Oliver,0.55467
00-0035250,0.04888,0.875,4.95833,0.32471,3.86726,0.0,0.36,24.0,491,113.0,348,26.0,25.0,15,NYG,Devin Singletary,0.38933
00-0035261,0.11875,0.7193,4.17544,0.6244,4.1341,0.04167,0.57692,57.0,480,261.0,418,24.0,26.0,16,TEN,Tony Pollard,0.67812
00-0035264,0.0,,,0.02381,8.0,0.0,0.0,0.0,29,1.0,42,4.0,5.0,18,DEN,Jarrett Stidham,0.06667
00-0035280,0.0,,,0.02439,0.0,0.0,0.0,0.0,32,1.0,41,1.0,1.0,17,MIA,Jake Bailey,0.0
00-0035289,0.0,,,0.08982,4.13333,0.0,0.0625,0.0,287,15.0,167,17.0,16.0,11,LV,Gardner Minshew,0.865
00-0035298,0.08738,0.55556,7.66667,0.0,,0.0,0.0,9.0,103,0.0,109,8.0,9.0,13,PIT,Scott Miller,0.25
00-0035311,0.01961,1.0,11.0,0.0566,-0.33333,0.0,0.0,1.0,51,3.0,53,2.0,5.0,5,MIN,Myles Gaskin,0.022
00-0035341,0.07353,0.3,1.5,0.0,,0.3125,0.0,10.0,136,0.0,86,16.0,14.0,8,CIN,Trenton Irwin,0.29143
00-0035406,0.10022,0.68889,6.51111,0.0,,0.15385,0.0,45.0,449,0.0,372,26.0,27.0,18,DEN,Lil'Jordan Humphrey,0.49706
00-0035500,0.0956,0.74,6.84,0.01089,6.2,0.06667,0.02941,50.0,523,5.0,459,30.0,34.0,17,ARI,Greg Dortch,0.40235
00-0035535,0.13688,0.54167,7.95833,0.00529,8.5,0.03704,0.03571,72.0,526,2.0,378,27.0,28.0,16,NYG,Darius Slayton,0.83062
00-0035537,0.0504,0.72,11.36,0.08705,5.19512,0.03448,0.05,25.0,496,41.0,471,29.0,60.0,20,BUF,Ty Johnson,0.28765
00-0035544,0.01887,0.0,0.0,0.0,,0.0,0.0,1.0,53,0.0,27,1.0,2.0,4,DET,Tom Kennedy,0.0575
00-0035547,0.03191,0.33333,1.66667,0.0,,0.1,0.0,3.0,94,0.0,99,10.0,13.0,3,KC,Joseph Fortson,
00-0035567,0.02415,0.6,8.0,0.13901,4.48387,0.0,0.0,5.0,207,31.0,223,21.0,28.0,18,DET,Craig Reynolds,0.08529
00-0035594,0.02479,1.0,3.66667,0.06593,3.83333,0.0,0.0,3.0,121,6.0,91,8.0,5.0,10,CHI,Travis Homer,0.116
00-0035602,0.10526,0.75,7.75,0.0,,0.33333,0.0,4.0,38,0.0,19,3.0,4.0,6,LV,Alex Bachman,0.17
00-0035628,0.05121,0.63158,5.05263,0.11268,4.46875,0.03571,0.09091,19.0,371,32.0,284,28.0,33.0,14,JAX,D'Ernest Johnson,0.22929
