team,week,gsis_id,slot
BUF,3,00-0037248,RB1
BUF,3,00-0039875,RB2
BUF,3,00-0039901,WR1
BUF,3,00-0037261,WR2
BUF,3,00-0036988,WR3
BUF,3,00-0038933,TE1
BUF,4,00-0034857,QB1
BUF,4,00-0037248,RB1
BUF,4,00-0039875,RB2
BUF,4,00-0037261,WR2
BUF,4,00-0039901,WR1
BUF,4,00-0036988,WR3
BUF,4,00-0038933,TE1
BUF,5,00-0034857,QB1
BUF,5,00-0037248,RB1
BUF,5,00-0039875,RB2
BUF,5,00-0039901,WR1
BUF,5,00-0037261,WR2
BUF,5,00-0036988,WR3
BUF,5,00-0038933,TE1
BUF,9,00-0034857,QB1
BUF,9,00-0037248,RB1
BUF,9,00-0035537,RB2
BUF,9,00-0039901,WR1
BUF,9,00-0037261,WR2
BUF,9,00-0036988,WR3
BUF,9,00-0038933,TE1
BUF,11,00-0034857,QB1
BUF,11,00-0037248,RB1
BUF,11,00-0035537,RB2
BUF,11,00-0037261,WR1
BUF,11,00-0039901,WR2
BUF,11,00-0036988,WR3
BUF,11,00-0038933,TE1
BUF,14,00-0034857,QB1
BUF,14,00-0037248,RB1
BUF,14,00-0039875,RB2
BUF,14,00-0037261,WR1
BUF,14,00-0036988,WR2
BUF,14,00-0036196,WR3
BUF,14,00-0038933,TE1
BUF,17,00-0034857,QB1
BUF,17,00-0037248,RB1
BUF,17,00-0035537,RB2
BUF,17,00-0037261,WR1
BUF,17,00-0036988,WR2
BUF,17,00-0038679,WR3
BUF,17,00-0038933,TE1
BUF,18,00-0034857,QB1
BUF,18,00-0037248,RB1
BUF,18,00-0035537,RB2
BUF,18,00-0037261,WR1
BUF,18,00-0031236,WR2
BUF,18,00-0036988,WR3
BUF,18,00-0038933,TE1
BUF,2,00-0034857,QB1
BUF,2,00-0037248,RB1
BUF,2,00-0039875,RB2
BUF,2,00-0039901,WR1
BUF,2,00-0037261,WR2
BUF,2,00-0036988,WR3
BUF,2,00-0038933,TE1
BUF,6,00-0034857,QB1
BUF,6,00-0037248,RB1
BUF,6,00-0039875,RB2
BUF,6,00-0039901,WR1
BUF,6,00-0037261,WR2
BUF,6,00-0036988,WR3
BUF,6,00-0038933,TE1
BUF,8,00-0034857,QB1
BUF,8,00-0037248,RB1
BUF,8,00-0035537,RB2
BUF,8,00-0037261,WR2
BUF,8,00-0039901,WR1
BUF,8,00-0036988,WR3
BUF,8,00-0038933,TE1
BUF,10,00-0034857,QB1
BUF,10,00-0037248,RB1
BUF,10,00-0035537,RB2
BUF,10,00-0039901,WR1
BUF,10,00-0037261,WR2
BUF,10,00-0036988,WR3
BUF,10,00-0038933,TE1
BUF,12,00-0034857,QB1
BUF,12,00-0037248,RB1
BUF,12,00-0035537,RB2
BUF,12,00-0037261,WR1
BUF,12,00-0039901,WR2
BUF,12,00-0036988,WR3
BUF,12,00-0038933,TE1
BUF,13,00-0034857,QB1
BUF,13,00-0037248,RB1
BUF,13,00-0035537,RB2
BUF,13,00-0037261,WR1
BUF,13,00-0036988,WR2
BUF,13,00-0031236,WR3
BUF,13,00-0038933,TE1
BUF,15,00-0034857,QB1
BUF,15,00-0037248,RB1
BUF,15,00-0039875,RB2
BUF,15,00-0037261,WR1
BUF,15,00-0036988,WR2
BUF,15,00-0036196,WR3
BUF,15,00-0038933,TE1
BUF,16,00-0034857,QB1
BUF,16,00-0037248,RB1
BUF,16,00-0039875,RB2
BUF,16,00-0037261,WR1
BUF,16,00-0036988,WR2
BUF,16,00-0039901,WR3
BUF,16,00-0038933,TE1
CAR,3,00-0039150,QB1
CAR,3,00-0036555,RB1
CAR,3,00-0036139,RB2
CAR,3,00-0040124,WR1
CAR,3,00-0039342,WR2
CAR,3,00-0034983,WR3
CAR,3,00-0039356,TE1
CAR,5,00-0039150,QB1
CAR,5,00-0036555,RB1
CAR,5,00-0036139,RB2
CAR,5,00-0039342,WR2
CAR,5,00-0040124,WR1
CAR,5,00-0034983,WR3
CAR,5,00-0039356,TE1
CAR,6,00-0039150,QB1
CAR,6,00-0036139,RB2
CAR,6,00-0036555,RB1
CAR,6,00-0039342,WR2
CAR,6,00-0040124,WR1
CAR,6,00-0034983,WR3
CAR,6,00-0039356,TE1
CAR,8,00-0039150,QB1
CAR,8,00-0036139,RB2
CAR,8,00-0036555,RB1
CAR,8,00-0040124,WR1
CAR,8,00-0039342,WR2
CAR,8,00-0039491,WR3
CAR,8,00-0039356,TE1
CAR,10,00-0039150,QB1
CAR,10,00-0036139,RB1
CAR,10,00-0036555,RB2
CAR,10,00-0040124,WR1
CAR,10,00-0039342,WR2
CAR,10,00-0039491,WR3
CAR,10,00-0037005,TE1
CAR,13,00-0039150,QB1
CAR,13,00-0036139,RB1
CAR,13,00-0036555,RB2
CAR,13,00-0040124,WR1
CAR,13,00-0039342,WR2
CAR,13,00-0039491,WR3
CAR,13,00-0039356,TE1
CAR,16,00-0039150,QB1
CAR,16,00-0036139,RB1
CAR,16,00-0036555,RB2
CAR,16,00-0040124,WR1
CAR,16,00-0039342,WR2
CAR,16,00-0039491,WR3
CAR,16,00-0037005,TE1
CAR,17,00-0039150,QB1
CAR,17,00-0036139,RB1
CAR,17,00-0036555,RB2
