name,team,rush_att,rush_yd,rush_td,rec,rec_yd,rec_td,fum_lost,fpts_page,snapshot,kind,url
Trey Benson,ARI,127.6,567.7,3.7,13.7,105.2,0.4,0.9,90.5,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Dylan Sampson,CLE,120.4,504.7,2.6,22.9,178.4,0.9,0.8,88.3,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Jaydon Blue,DAL,108.6,480.5,2.9,20.6,161.7,0.8,0.8,84.9,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Tyler Allgeier,ATL,119.8,549.3,3.3,12.6,92.3,0.3,0.8,84.3,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Najee Harris,LAC,118.3,464.0,3.7,17.1,125.4,0.6,0.8,83.2,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Ray Davis,BUF,109.2,467.3,3.5,12.4,105.5,1.0,0.8,82.6,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Jaylen Wright,MIA,127.9,489.4,3.2,13.4,92.0,0.6,1.2,78.1,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Braelon Allen,NYJ,115.2,437.3,3.0,16.5,123.6,0.8,0.4,77.8,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Bhayshul Tuten,JAC,89.2,389.2,2.7,17.3,136.9,0.8,0.8,72.2,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Rico Dowdle,CAR,85.2,390.2,2.2,22.2,151.7,1.1,0.8,72.2,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Kareem Hunt,KC,81.2,321.5,3.3,20.1,140.3,0.8,0.1,70.4,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
MarShawn Lloyd,GB,105.7,381.3,2.9,13.5,108.4,0.7,0.8,69.2,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Roschon Johnson,CHI,86.2,300.1,4.2,14.7,98.5,0.4,0.1,67.5,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Brian Robinson Jr.,SF,97.9,400.6,3.3,8.7,72.7,0.5,1.1,67.4,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Woody Marks,HOU,73.8,275.4,1.8,24.9,182.0,1.1,0.1,62.9,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Kendre Miller,NO,92.1,359.8,3.2,10.3,76.7,0.2,0.4,62.7,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Ollie Gordon II,MIA,77.6,350.3,3.0,9.6,73.8,0.4,1.1,60.4,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Justice Hill,BAL,41.8,184.9,1.1,27.3,221.9,1.7,0.4,56.6,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Blake Corum,LAR,84.2,318.0,2.1,12.7,94.0,0.3,0.4,55.2,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Miles Sanders,DAL,93.4,350.9,2.1,10.0,62.0,0.3,0.5,54.6,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Keaton Mitchell,BAL,66.0,322.3,1.7,9.1,85.5,0.5,0.0,54.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Raheem Mostert,LV,77.2,257.5,2.4,15.6,115.5,0.5,0.8,53.3,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Chris Rodriguez Jr.,WAS,70.4,318.0,2.9,4.4,33.4,0.1,0.4,52.2,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Ty Johnson,BUF,44.9,205.3,0.9,15.2,165.3,1.4,0.1,51.3,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Kyle Monangai,CHI,42.0,259.2,2.3,6.4,45.6,0.1,0.1,44.8,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Samaje Perine,CIN,41.2,174.7,1.3,17.8,155.1,0.9,0.7,44.7,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Antonio Gibson,NE,51.4,215.4,1.0,16.4,132.7,0.5,0.0,43.6,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Kenneth Gainwell,PIT,58.5,226.6,1.6,12.5,88.5,0.4,0.4,42.9,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Isaac Guerendo,SF,52.2,246.3,2.0,7.5,67.3,0.1,0.4,42.8,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Jarquez Hunter,LAR,57.1,237.7,1.9,7.1,61.0,0.4,0.7,42.3,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Zamir White,LV,56.2,231.4,1.4,10.0,71.0,0.3,0.0,40.6,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Tahj Brooks,CIN,48.8,212.9,1.6,9.2,73.3,0.5,0.7,39.6,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Devin Singletary,NYG,52.1,236.2,1.5,9.4,63.5,0.1,0.4,39.2,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Trevor Etienne,CAR,47.8,191.3,1.5,10.7,86.5,0.4,0.4,38.3,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Will Shipley,PHI,37.4,205.2,1.3,8.3,61.8,0.4,0.1,36.8,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Khalil Herbert,IND,60.4,215.4,1.6,7.7,43.8,0.2,0.0,36.5,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Elijah Mitchell,KC,60.5,203.8,1.6,7.2,40.6,0.4,0.1,36.2,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Sean Tucker,TB,44.8,231.3,1.4,5.2,40.2,0.3,0.7,36.1,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Devin Neal,NO,39.1,205.0,1.3,7.2,53.1,0.4,0.1,36.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Jaleel McLaughlin,DEN,35.3,156.4,0.9,18.0,108.5,0.9,0.5,35.9,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Emanuel Wilson,GB,32.7,178.0,1.3,9.2,67.2,0.6,0.5,34.3,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
A.J. Dillon,PHI,50.1,194.6,1.6,3.6,28.6,0.1,0.0,32.3,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
DJ Giddens,IND,23.6,163.2,1.3,7.6,56.4,0.1,0.0,30.3,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Amar Johnson,GB,35.0,164.0,1.0,2.0,26.0,0.0,0.0,25.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Isaiah Davis,NYJ,30.7,152.3,0.9,4.9,35.7,0.1,0.0,24.5,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Zavier Scott,MIN,32.0,153.0,1.0,3.0,29.0,0.0,0.0,24.2,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Chris Brooks,GB,30.9,139.1,0.9,5.0,32.1,0.0,0.0,22.9,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Kimani Vidal,LAC,24.9,110.2,0.8,6.4,48.3,0.3,0.0,22.2,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Clyde Edwards-Helaire,NO,36.9,113.8,0.6,5.7,42.9,0.3,0.1,20.5,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Kyle Juszczyk,SF,5.4,22.5,0.3,13.1,125.0,0.7,0.4,20.5,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Tyler Goodson,IND,30.0,109.7,0.7,4.7,31.3,0.3,0.0,20.1,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Dameon Pierce,HOU,19.3,125.1,0.8,5.1,33.6,0.1,0.7,20.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Brashard Smith,KC,9.9,78.9,0.5,8.3,61.7,0.5,0.0,19.8,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Hassan Haskins,LAC,30.8,89.3,0.7,5.3,42.2,0.5,0.3,19.4,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Sincere McCormick,LV,23.7,112.9,0.8,4.3,29.9,0.1,0.1,19.2,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Emari Demercado,ARI,18.7,106.3,0.4,8.1,54.1,0.1,0.0,19.1,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Ty Chandler,MIN,18.9,96.3,0.7,5.0,34.7,0.1,0.0,17.7,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Jeremy McNichols,WAS,21.9,93.0,1.1,2.7,15.3,0.0,0.0,17.7,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Julius Chestnut,TEN,10.4,70.9,0.5,5.5,40.2,0.2,0.0,14.9,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Kalel Mullings,TEN,10.4,84.0,0.6,3.0,21.8,0.0,0.0,14.5,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Michael Burton,DEN,6.7,14.6,0.6,7.1,45.6,0.6,0.0,13.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
George Holani,SEA,0.0,79.0,0.5,2.0,14.5,0.0,0.0,12.4,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Craig Reynolds,DET,8.5,38.0,0.1,6.9,55.1,0.4,0.0,12.3,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Ronnie Rivers,LAR,31.7,90.3,0.5,0.3,2.3,0.0,0.0,12.2,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Travis Homer,CHI,21.6,69.8,0.3,3.4,25.7,0.1,0.0,12.1,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Alec Ingold,MIA,8.9,21.5,0.6,6.1,44.1,0.4,0.4,11.7,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
C.J. Ham,MIN,3.0,13.6,1.0,5.3,34.8,0.1,0.0,11.3,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Michael Carter,ARI,9.6,41.2,0.2,6.6,45.0,0.3,0.0,11.3,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Jordan Mims,TEN,15.8,66.5,0.3,2.2,15.4,0.1,0.0,10.6,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Raheem Blackshear,CAR,23.0,66.0,0.4,2.9,21.0,0.1,0.5,10.4,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Phil Mafah,DAL,0.0,61.5,0.5,1.5,11.0,0.0,0.0,10.3,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Jordan James,SF,18.2,63.0,0.4,1.0,12.0,0.0,0.0,9.8,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Dare Ogunbowale,HOU,6.5,38.4,0.1,5.6,42.4,0.2,0.0,9.7,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Israel Abanikanda,GB,13.3,54.8,0.4,1.3,10.5,0.1,0.0,9.2,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Kenny McIntosh,SEA,8.2,35.1,0.2,4.1,30.1,0.2,0.0,8.7,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Jeff Wilson Jr.,SF,13.0,42.1,0.2,2.4,18.6,0.1,0.0,8.3,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Frank Gore Jr.,BUF,10.2,42.8,0.2,2.0,15.0,0.1,0.0,7.7,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Patrick Ricard,BAL,4.1,11.5,0.1,3.4,27.6,0.5,0.0,7.4,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
LeQuint Allen Jr.,JAC,4.0,29.4,0.6,1.5,11.0,0.0,0.0,7.3,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Deuce Vaughn,DAL,8.9,35.0,0.1,3.2,21.6,0.1,0.0,7.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Gary Brightwell,CIN,8.0,33.7,0.2,2.4,17.1,0.1,0.0,6.9,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Eric Gray,NYG,11.9,42.7,0.2,1.9,14.4,0.1,0.5,6.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Jashaun Corbin,ATL,9.3,35.1,0.2,1.5,10.6,0.0,0.0,5.7,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Rasheen Ali,BAL,5.2,33.3,0.1,1.4,10.2,0.1,0.0,5.1,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Darrynton Evans,BUF,5.1,21.3,0.1,1.9,15.4,0.1,0.0,4.9,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Hunter Luepke,DAL,4.2,14.5,0.1,3.9,26.7,0.1,0.0,4.8,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
DeeJay Dallas,ARI,5.8,22.2,0.1,3.1,21.4,0.1,0.5,4.4,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Trey Sermon,PIT,5.0,20.8,0.1,1.6,11.5,0.1,0.0,3.9,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Zonovan Knight,ARI,2.4,10.1,0.1,2.1,15.3,0.1,0.0,3.6,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Velus Jones Jr.,NO,2.4,10.4,0.1,2.0,13.7,0.1,0.0,3.4,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Terrell Jennings,NE,2.4,10.1,0.1,1.9,14.5,0.1,0.0,3.3,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Dylan Laube,LV,0.0,10.0,0.0,1.5,11.0,0.0,0.0,2.1,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Robbie Ouzts,SEA,0.0,0.0,0.0,2.0,14.8,0.1,0.0,1.9,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Carlos Washington Jr.,ATL,0.0,15.0,0.0,0.5,3.5,0.0,0.0,1.9,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Scott Matlock,LAC,0.0,0.0,0.0,2.2,14.7,0.1,0.0,1.8,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Raheim Sanders,LAC,0.0,10.5,0.0,1.0,7.5,0.0,0.0,1.8,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Lan Larison,NE,0.0,6.0,0.0,1.5,11.0,0.0,0.0,1.7,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Tyler Badie,DEN,0.0,10.5,0.0,0.5,3.5,0.0,0.0,1.4,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Trayveon Williams,CLE,1.2,5.1,0.0,1.0,7.0,0.0,0.0,1.4,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Avery Williams,PHI,1.4,5.7,0.0,1.6,10.9,0.1,0.5,1.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Sione Vaki,DET,0.0,4.5,0.0,0.5,3.5,0.0,0.0,0.8,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
JaMycal Hasty,NE,0.0,4.0,0.0,0.5,3.5,0.0,0.0,0.8,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Patrick Taylor Jr.,SF,0.0,4.0,0.0,0.5,3.5,0.0,0.0,0.8,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Keilan Robinson,PHI,0.0,2.0,0.0,0.5,3.5,0.0,0.0,0.6,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
D'Ernest Johnson,BAL,0.0,2.0,0.0,0.5,3.0,0.0,0.0,0.5,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Myles Gaskin,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
Nyheim Miller-Hines,LAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250826174831,preseason,https://www.fantasypros.com/nfl/projections/rb.php?scoring=STD&week=draft
