name,team,rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,fum_lost,fpts_page,snapshot,kind,url
Isaac TeSlaa,DET,10.7,155.2,1.1,0.0,0.0,0.0,0.0,22.3,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Jahan Dotson,PHI,13.0,149.4,1.0,0.0,1.7,0.0,0.0,20.8,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Casey Washington,ATL,11.3,135.6,1.0,0.0,0.0,0.0,0.0,19.6,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Malachi Corley,NYJ,11.9,127.6,0.8,2.3,13.5,0.1,0.1,19.2,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Michael Gallup,WAS,11.6,130.8,1.0,0.0,0.0,0.0,0.0,19.2,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Jake Bobo,SEA,11.7,137.7,0.9,0.0,0.0,0.0,0.0,18.9,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Jaylin Lane,WAS,10.4,120.1,0.8,2.2,13.5,0.1,0.1,18.8,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Arian Smith,NYJ,11.2,134.3,0.7,0.0,3.5,0.0,0.0,17.9,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Jha'Quan Jackson,TEN,11.4,138.3,0.8,0.0,1.7,0.0,0.5,17.7,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Savion Williams,GB,9.1,104.8,0.8,4.4,16.4,0.1,0.0,17.5,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Jamari Thrash,CLE,12.3,144.7,0.5,0.0,0.0,0.0,0.2,17.1,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Tim Jones,MIN,10.3,115.9,0.9,0.0,0.0,0.0,0.1,16.9,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Erik Ezukanma,MIA,10.8,120.6,0.8,0.0,0.0,0.0,0.0,16.8,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Xavier Restrepo,TEN,10.0,105.0,1.0,0.0,2.0,0.0,0.0,16.7,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Mack Hollins,NE,8.2,102.2,0.8,0.0,1.7,0.0,0.0,15.1,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
DeAndre Carter,CLE,10.9,128.7,0.5,0.0,2.0,0.0,0.5,15.0,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Chris Blair,ATL,9.4,106.0,0.7,0.0,0.0,0.0,0.0,15.0,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Xavier Hutchinson,HOU,9.8,107.9,0.7,0.0,0.0,0.0,0.0,14.9,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Olamide Zaccheaus,CHI,9.4,99.7,0.7,1.1,6.0,0.0,0.1,14.8,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Tylan Wallace,BAL,6.7,90.0,0.9,0.0,1.7,0.0,0.0,14.4,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
Simi Fehoko,ARI,7.6,91.6,0.7,0.0,0.0,0.0,0.0,13.2,20250820075810,preseason,https://www.fantasypros.com/nfl/projections/wr.php?league=325415&week=draft
